;Estimate;Std. Error;t value
(Intercept);3.010871807;0.162114253;18.57252991
;;;
age_class.L;1.645551357;0.346427882;4.750054609
age_class.Q;-0.403838807;0.358842949;-1.125391505
age_class.C;0.193260078;0.371031126;0.520872952
age_class^4;-0.010501723;0.378381758;-0.027754307
;;;
scl.ats1;-0.262079372;0.086165238;-3.041590513
;;;
scl.prec1;0.278308157;0.092606819;3.005266334
