;X.Intercept.;age_class;samcam;scl.ats1;I.scl.ats1.2.;scl.clay;scl.cn;scl.mc;I.scl.mc.2.;scl.pH;scl.prec1;age_class.samcam;scl.cn.scl.pH;scl.mc.scl.pH;offset.log.area..;df;logLik;AICc;delta;weight;V21
10551;-7.455116546;+;+;-0.131211181;-0.28791352;-0.555347118;NA;NA;NA;NA;NA;+;NA;NA;NA;19;-185.818108;414.6035363;3.6781781;0.009959717;anc.juv
9275;-6.281454535;+;+;NA;-0.30722679;-0.636518085;0.051517559;NA;NA;NA;NA;+;NA;NA;+;19;-185.8910455;414.7494113;3.824053034;0.00925914;anc.juv
1083;-7.533522139;+;+;NA;-0.307227056;-0.63651715;0.051517019;NA;NA;NA;NA;+;NA;NA;NA;19;-185.8910456;414.7494114;3.824053136;0.00925914;anc.juv
9811;-6.569788509;+;+;NA;NA;-0.420107437;NA;0.208007663;NA;NA;0.251642153;+;NA;NA;+;19;-185.8986148;414.7645498;3.839191577;0.00918932;anc.juv
1619;-7.828799881;+;+;NA;NA;-0.420107569;NA;0.208008;NA;NA;0.251641869;+;NA;NA;NA;19;-185.8986148;414.7645499;3.839191681;0.009189319;anc.juv
96831;-6.517012784;+;+;NA;NA;-0.60066158;NA;0.2572189;0.104139441;0.306329808;NA;+;NA;NA;+;20;-184.649153;414.8246217;3.899263469;0.008917414;anc.juv
14911;-7.800676112;+;+;NA;NA;-0.600660496;NA;0.257218563;0.104139394;0.306329684;NA;+;NA;NA;NA;20;-184.649153;414.8246218;3.899263559;0.008917414;anc.juv
17312;0.429907561;+;+;NA;NA;NA;NA;0.99203368;-0.559360338;NA;0.461602756;+;NA;NA;NA;19;-409.0703055;860.9507376;0;0.167096711;endo.juv
99232;1.816204071;+;+;NA;NA;NA;NA;0.992034071;-0.559360761;NA;0.461602998;+;NA;NA;+;19;-409.0703055;860.9507376;3.28E-10;0.167096711;endo.juv
17472;0.433134407;+;+;NA;NA;0.60397511;NA;0.985576015;-0.558765328;NA;0.469189893;+;NA;NA;NA;20;-407.9355236;861.2213656;0.270628073;0.145949215;endo.juv
99392;1.819433159;+;+;NA;NA;0.60397313;NA;0.985576642;-0.558765947;NA;0.469189883;+;NA;NA;+;20;-407.9355236;861.2213657;0.270628073;0.145949215;endo.juv
99551;1.808977622;+;+;NA;NA;NA;0.357675196;0.978790364;-0.552450066;NA;0.464469454;+;NA;NA;+;20;-408.6493054;862.6489292;1.698191635;0.071484235;endo.juv
17631;0.42268467;+;+;NA;NA;NA;0.357679601;0.978791567;-0.552450846;NA;0.464469386;+;NA;NA;NA;20;-408.6493054;862.6489292;1.698191635;0.071484235;endo.juv
9971;1.815164167;+;+;NA;NA;0.53519222;0.186925356;0.979161706;-0.555167191;NA;0.470062695;+;NA;NA;+;21;-407.8300234;863.5831238;2.632386242;0.044807684;endo.juv
1779;0.428869087;+;+;NA;NA;0.535188318;0.186929092;0.979162288;-0.555167218;NA;0.47006222;+;NA;NA;NA;21;-407.8300234;863.5831238;2.632386243;0.044807684;endo.juv
137632;1.786243506;+;+;NA;NA;NA;NA;1.005004504;-0.293463049;0.124545277;NA;+;NA;0.493893337;+;20;-409.1829217;863.716162;2.765424381;0.041924088;endo.juv
55712;0.399957829;+;+;NA;NA;NA;NA;1.005002535;-0.293462588;0.124544468;NA;+;NA;0.493893829;NA;20;-409.1829217;863.716162;2.765424385;0.041924088;endo.juv
137792;1.777738255;+;+;NA;NA;0.485738771;NA;0.999634141;-0.295521645;0.106027135;NA;+;NA;0.505315291;+;21;-408.2741804;864.4714378;3.520700239;0.028738067;endo.juv
55872;0.391437846;+;+;NA;NA;0.485744089;NA;0.99963503;-0.295522199;0.106027078;NA;+;NA;0.505314818;NA;21;-408.2741805;864.4714378;3.520700249;0.028738067;endo.juv
99233;2.208072449;+;+;NA;NA;NA;NA;0.833437955;-0.53886393;NA;0.471240747;+;NA;NA;+;19;-473.6528622;990.1158511;0;0.238999516;juv
17313;0.821779722;+;+;NA;NA;NA;NA;0.833437815;-0.538864033;NA;0.471240254;+;NA;NA;NA;19;-473.6528622;990.1158511;2.44E-09;0.238999516;juv
99393;2.219752694;+;+;NA;NA;0.339473882;NA;0.832118983;-0.539967026;NA;0.476242088;+;NA;NA;+;20;-473.0718319;991.4939822;1.378131152;0.119988506;juv
17473;0.833464172;+;+;NA;NA;0.339469485;NA;0.832119063;-0.539966927;NA;0.476241662;+;NA;NA;NA;20;-473.0718319;991.4939822;1.378131153;0.119988505;juv
17632;0.817404181;+;+;NA;NA;NA;0.275629516;0.826842542;-0.535682979;NA;0.474225542;+;NA;NA;NA;20;-473.237639;991.8255964;1.709745314;0.101655421;juv
99552;2.203705136;+;+;NA;NA;NA;0.275624732;0.82684162;-0.535682334;NA;0.474224881;+;NA;NA;+;20;-473.237639;991.8255964;1.709745314;0.101655421;juv
17791;0.828251761;+;+;NA;NA;0.270714076;0.187355031;0.827883987;-0.537621039;NA;0.477404689;+;NA;NA;NA;21;-472.900186;993.7234489;3.607597848;0.039356557;juv
99711;2.214546505;+;+;NA;NA;0.270726399;0.187349634;0.827884348;-0.53762108;NA;0.477404602;+;NA;NA;+;21;-472.900186;993.7234489;3.607597848;0.039356557;juv
1;1.575447213;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-230.6020075;475.8746737;0;0.222348248;anc.bm
8193;2.961741574;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;7;-230.6020075;475.8746737;1.14E-13;0.222348248;anc.bm
65;1.576243271;+;NA;NA;NA;NA;NA;0.137739992;NA;NA;NA;NA;NA;NA;NA;8;-230.772483;478.412436;2.537762241;0.062512324;anc.bm
8257;2.962537632;+;NA;NA;NA;NA;NA;0.137739992;NA;NA;NA;NA;NA;NA;+;8;-230.772483;478.412436;2.537762241;0.062512324;anc.bm
9;1.707639688;+;NA;NA;-0.133554809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-230.8050793;478.4776285;2.602954754;0.060507508;anc.bm
8201;3.093934049;+;NA;NA;-0.133554809;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;8;-230.8050793;478.4776285;2.602954754;0.060507508;anc.bm
8449;2.964204366;+;NA;NA;NA;NA;NA;NA;NA;0.142254694;NA;NA;NA;NA;+;8;-230.9909148;478.8492995;2.974625749;0.050246051;anc.bm
257;1.577910005;+;NA;NA;NA;NA;NA;NA;NA;0.142254694;NA;NA;NA;NA;NA;8;-230.9909148;478.8492995;2.974625749;0.050246051;anc.bm
5;1.579207109;+;NA;-0.098617494;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-231.3326208;479.5327116;3.65803782;0.035702686;anc.bm
8197;2.96550147;+;NA;-0.098617493;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;8;-231.3326208;479.5327116;3.65803782;0.035702686;anc.bm
17;1.575474481;+;NA;NA;NA;-0.002120111;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-231.3514885;479.5704469;3.695773172;0.035035375;anc.bm
