;X.Intercept.;age_class;samcam;scl.ats1;I.scl.ats1.2.;scl.clay;scl.cn;scl.mc;I.scl.mc.2.;scl.pH;scl.prec1;age_class.samcam;scl.cn.scl.pH;scl.mc.scl.pH;offset.log.area..;df;logLik;AICc;delta;weight;V21
8451;3.144054519;+;+;NA;NA;NA;NA;NA;NA;0.122735606;NA;NA;NA;NA;+;10;-212.4782279;446.2979192;3.625779985;0.014683015;N.bm
82012;3.522290221;+;NA;NA;-0.131986768;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;8;-214.794093;446.4556559;3.783516704;0.013569479;N.bm
93;2.13599586;+;NA;NA;-0.131986768;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-214.794093;446.4556559;3.783516704;0.013569479;N.bm
652;2.004993625;+;NA;NA;NA;NA;NA;0.134927346;NA;NA;NA;NA;NA;NA;NA;8;-214.8260512;446.5195723;3.847433079;0.013142679;N.bm
82572;3.391287987;+;NA;NA;NA;NA;NA;0.134927346;NA;NA;NA;NA;NA;NA;+;8;-214.8260512;446.5195723;3.847433079;0.013142679;N.bm
8194;1.747301621;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;5;-91.91827692;194.1958353;0;0.5;anc.juv.bm
2;0.36100726;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-91.91827692;194.1958353;1.99E-13;0.5;anc.juv.bm
44181;0.177685727;NA;+;NA;NA;NA;NA;0.158885267;NA;0.179965902;NA;NA;NA;0.110998663;NA;8;-71.21456461;159.3018565;0;0.268833996;endo.juv.bm
126101;1.563980088;NA;+;NA;NA;NA;NA;0.158885267;NA;0.179965902;NA;NA;NA;0.110998663;+;8;-71.21456461;159.3018565;1.42E-13;0.268833996;endo.juv.bm
54433;0.242838038;+;+;NA;NA;NA;NA;0.206863945;NA;0.196175217;NA;+;NA;0.148358475;NA;20;-57.28855457;160.0673052;0.76544873;0.183345015;endo.juv.bm
136353;1.629132399;+;+;NA;NA;NA;NA;0.206863944;NA;0.196175217;NA;+;NA;0.148358475;+;20;-57.28855457;160.0673052;0.76544873;0.183345015;endo.juv.bm
8514;1.59850077;NA;+;NA;NA;NA;NA;0.144911461;NA;0.196984507;NA;NA;NA;NA;+;7;-74.04020828;162.7551154;3.453258865;0.047820989;endo.juv.bm
322;0.212206409;NA;+;NA;NA;NA;NA;0.144911462;NA;0.196984507;NA;NA;NA;NA;NA;7;-74.04020828;162.7551154;3.453258865;0.047820989;endo.juv.bm
8512;1.893935178;NA;NA;NA;NA;NA;NA;0.178356946;NA;0.174349155;NA;NA;NA;NA;+;5;-123.7324483;257.8220395;0;0.193960984;juv.bm
320;0.507640817;NA;NA;NA;NA;NA;NA;0.178356946;NA;0.174349155;NA;NA;NA;NA;NA;5;-123.7324483;257.8220395;5.68E-14;0.193960984;juv.bm
321;0.563986544;+;NA;NA;NA;NA;NA;0.179622601;NA;0.17498101;NA;NA;NA;NA;NA;9;-119.5982139;258.2939888;0.471949265;0.153190523;juv.bm
8513;1.950280905;+;NA;NA;NA;NA;NA;0.179622601;NA;0.17498101;NA;NA;NA;NA;+;9;-119.5982139;258.2939888;0.471949265;0.153190523;juv.bm
8529;1.949177529;+;NA;NA;NA;-0.199012839;NA;0.174051783;NA;0.199439492;NA;NA;NA;NA;+;10;-119.5084238;260.3665409;2.544501367;0.05434792;juv.bm
337;0.562883168;+;NA;NA;NA;-0.199012839;NA;0.174051783;NA;0.199439492;NA;NA;NA;NA;NA;10;-119.5084238;260.3665409;2.544501367;0.05434792;juv.bm
4416;0.507904556;NA;NA;NA;NA;NA;NA;0.198131934;NA;0.174250511;NA;NA;NA;0.078306944;NA;6;-124.382837;261.2686681;3.446628555;0.034616926;juv.bm
12608;1.894198917;NA;NA;NA;NA;NA;NA;0.198131934;NA;0.174250511;NA;NA;NA;0.078306944;+;6;-124.382837;261.2686681;3.446628555;0.034616926;juv.bm
12609;1.949876768;+;NA;NA;NA;NA;NA;0.200106716;NA;0.174300745;NA;NA;NA;0.08304794;+;10;-120.0263023;261.4022978;3.580258273;0.032379577;juv.bm
4417;0.563582407;+;NA;NA;NA;NA;NA;0.200106716;NA;0.174300746;NA;NA;NA;0.08304794;NA;10;-120.0263023;261.4022978;3.580258273;0.032379577;juv.bm
8256;1.888336162;NA;NA;NA;NA;NA;NA;0.180257005;NA;NA;NA;NA;NA;NA;+;4;-126.6102168;261.45712;3.635080509;0.031504071;juv.bm
64;0.502041801;NA;NA;NA;NA;NA;NA;0.180257005;NA;NA;NA;NA;NA;NA;NA;4;-126.6102168;261.45712;3.635080509;0.031504071;juv.bm
45471;1.49569792;+;+;NA;NA;NA;NA;0.172746911;0.232053413;0.256403807;NA;NA;NA;0.449751156;NA;13;-242.4112965;513.0834626;0;0.2701013;SR
127391;2.88199228;+;+;NA;NA;NA;NA;0.172746909;0.232053414;0.256403807;NA;NA;NA;0.449751156;+;13;-242.4112965;513.0834626;0;0.2701013;SR
126112;3.180282471;+;+;NA;NA;NA;NA;0.296173697;NA;0.17169502;NA;NA;NA;0.379814822;+;12;-244.5495018;515.0249295;1.941466908;0.10231575;SR
44192;1.79398811;+;+;NA;NA;NA;NA;0.296173697;NA;0.17169502;NA;NA;NA;0.379814822;NA;12;-244.5495018;515.0249295;1.941466908;0.10231575;SR
4563;1.489654762;+;+;NA;NA;-0.202649756;NA;0.167013767;0.239862543;0.291575027;NA;NA;NA;0.444149944;NA;14;-242.5542622;515.7335245;2.650061891;0.071791503;SR
12755;2.875949124;+;+;NA;NA;-0.202649754;NA;0.167013769;0.239862542;0.291575026;NA;NA;NA;0.444149944;+;14;-242.5542622;515.7335245;2.650061891;0.071791503;SR
4579;1.503449302;+;+;NA;NA;NA;-0.116367989;0.179632814;0.229111028;0.27141328;NA;NA;NA;0.448948941;NA;14;-242.8064078;516.2378156;3.154353023;0.055791446;SR
12771;2.889743663;+;+;NA;NA;NA;-0.116367989;0.179632815;0.229111028;0.27141328;NA;NA;NA;0.448948941;+;14;-242.8064078;516.2378156;3.154353023;0.055791446;SR
81933;1.937295796;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;7;-67.46422481;149.6031484;0;0.115794328;H
16;0.551001435;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-67.46422481;149.6031484;1.14E-13;0.115794328;H
34;0.43444198;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-65.41312393;149.9238088;0.320660427;0.09864084;H
81952;1.820736342;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;9;-65.41312393;149.9238088;0.320660427;0.09864084;H
81941;1.754606533;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;5;-70.22640016;150.8099432;1.206794761;0.06333374;H
21;0.368312172;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-70.22640016;150.8099432;1.206794761;0.06333374;H
8192;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;3;-72.36863816;150.8784528;1.275304382;0.061200992;H
0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;-72.36863816;150.8784528;1.275304382;0.061200992;H
53;0.552986454;+;NA;-0.06579646;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-67.08091365;151.0345546;1.431406155;0.05660586;H
81973;1.939280815;+;NA;-0.06579646;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;8;-67.08091365;151.0345546;1.431406155;0.05660586;H
653;0.551363792;+;NA;NA;NA;NA;NA;0.07064792;NA;NA;NA;NA;NA;NA;NA;8;-67.60571071;152.0841487;2.481000284;0.033492296;H
82573;1.937658153;+;NA;NA;NA;NA;NA;0.07064792;NA;NA;NA;NA;NA;NA;+;8;-67.60571071;152.0841487;2.481000284;0.033492296;H
8196;1.871529046;NA;NA;-0.064315408;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;4;-72.19976517;152.6362167;3.033068322;0.025413523;H
4;0.485234685;NA;NA;-0.064315408;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-72.19976517;152.6362167;3.033068322;0.025413523;H
84493;1.93844963;+;NA;NA;NA;NA;NA;NA;NA;0.075018464;NA;NA;NA;NA;+;8;-67.98558163;152.8438905;3.240742118;0.022907045;H
2573;0.552155269;+;NA;NA;NA;NA;NA;NA;NA;0.075018463;NA;NA;NA;NA;NA;8;-67.98558163;152.8438905;3.240742118;0.022907045;H
641;0.483344449;NA;NA;NA;NA;NA;NA;0.074095961;NA;NA;NA;NA;NA;NA;NA;4;-72.31659343;152.8698733;3.266724837;0.022611377;H
82561;1.86963881;NA;NA;NA;NA;NA;NA;0.074095961;NA;NA;NA;NA;NA;NA;+;4;-72.31659343;152.8698733;3.266724837;0.022611377;H
