"","field.ID","location","field","dgO","dgN","area","WRB","BO_Syst","soty","crop","age_class","age","y_est","samcam","season","year","date","pH","mc","cn","sand","silt","clay","ata1","atb1","hum1","ats1","prec1","rad1","ata2","atb2","hum2","ats2","prec2","rad2","soil_coverage","soil_tillage","fertilisation","weed_control","soil_compaction","compaction","ACA","ACH","ALO","ARO","END","LCA","LRU","LTR","LUM","OCY","OLA","UNK","ACA_BM","ACH_BM","ALO_BM","ARO_BM","END_BM","LCA_BM","LRU_BM","LTR_BM","LUM_BM","OCY_BM","OLA_BM","UNK_BM","anc","endo","epi","anc.bm","endo.bm","epi.bm","N","N.bm","SR","H","J","endad","endad.bm","ancad","ancad.bm"
"41","11","Niederdorla","ND_2011",10.399994,51.136251,9278,"Stagnic_Luvisol","SS-LL","tU","Silphie","B_Sp_young",1,2011,"1","autumn",2012,2012-11-08,6.77,30.7005890579352,8.82,10.1,69.6,20.3,7.11,6.75,89.54,7.86,1.13,1422,7.87,7.45,81.59,6.97,0,390,"50x50","0","2","4","4","3",4,1,0,5,1,0,0,5,0,0,0,1,1.597,0.379,0,1.024,0.029,0,0,25.097,0,0,0,0,5,11,0,25.097,3.029,0,17,28.126,4,1.26541309651417,0.912802599508472,9,2.82,5,25.097
"45","12","Ronneberg","RO_2011",9.609485,52.295013,1197,"Haplic_Luvisol","LLn","ttU","Silphie","B_Sp_young",1,2011,"1","autumn",2012,2012-10-23,5.3,18.9069093426482,9.86,10.4,75.1,14.5,11.81,11.41,82.77,12.03,3,2046,10.85,10.89,94.55,12.53,0,383,"60x60","0","4","4","5","3",1,0,0,0,0,0,0,4,0,0,0,0,0.259,0,0,0,0,0,0,19.786,0,0,0,0,4,1,0,19.786,0.259,0,5,20.045,2,0.500402423538188,0.721928094887362,1,0.259,4,19.786
"49","13","Dornburg","DO_Mais",11.656488,51.003322,906,"Mollic_Leptosol","BB-RR","uuT","Maize","A_Cm",0,2012,"1","autumn",2012,2012-09-18,6.34,14.6997192433852,8.25,7.4,60.5,32.1,16.95,17.48,67.48,18.98,1.85,3849,16.29,16.58,69.24,16.55,11.2,4130,"75x20","1","2","3","6","2",2,0,0,1,4,0,0,0,0,0,0,0,1.188,0,0,0.289,0.555,0,0,0,0,0,0,0,0,7,0,0,2.032,0,7,2.032,2,0.636514168294813,0.918295834054489,3,1.477,0,0
"53","14","Niederdorla","ND_Mais",10.438575,51.17563,70603,"Stagnic_Luvisol","SS-LL","tU","Maize","A_Cm",0,2012,"1","autumn",2012,2012-10-15,6,24.1944246303328,9.02,7.6,72,20.4,9.92,9.71,86.56,11.24,1.4,2705,7.14,7.13,96,8.88,0.9,864,"75x20","1","3","3","6","3",1,0,0,0,3,0,0,1,0,0,0,0,0.725,0,0,0,0.537,0,0,2.196,0,0,0,0,1,4,0,2.196,1.262,0,5,3.458,2,0.693147180559945,1,1,0.725,1,2.196
"57","15","Ronneberg","RO_Mais",9.608546,52.294104,35300,"Haplic_Luvisol","LLn","ttU","Maize","A_Cm",0,2012,"1","autumn",2012,2012-10-23,5.82,20.188488641196,8.91,10.2,75.3,14.5,11.81,11.41,82.77,12.03,3,2046,10.85,10.89,94.55,12.53,0,383,"75x20","1","4","3","6","3",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10.514,0,0,0,0,5,0,0,10.514,0,0,5,10.514,1,0,NA,0,0,3,8.406
"61","1","Dornburg","DO_2004",11.658097,51.003187,219,"Mollic_Leptosol","BB-RR","uuT","Silphie","E_Sp_old",9,2004,"2","spring",2013,2013-04-15,5.72,24.2880828785462,8.33,10.8,55.2,34,1.64,3.02,69.08,3.87,1.17,3145,17.3,17.13,49.63,11.02,0,6042,"50x50","0","3","1","1","1",7,0,0,3,1,0,0,14,0,0,1,5,7.501,0,0,0.39,0.508,0,0,55.877,0,0,2.027,0,14,12,0,55.877,10.426,0,31,66.303,4,1.06431540390799,0.767741277579899,10,9.87,12,55.6661
"65","2","Hessberg","HE_2004",10.78191,50.414685,285,"Terra_Fusca","CFn","uT","Silphie","E_Sp_old",9,2004,"2","spring",2013,2013-04-24,5.27,25.7723565548462,8.98,12.3,50.4,37.3,4.97,5.53,71.06,5.04,0.91,3398,11.23,13.46,68.78,10.81,0,6076,"50x50","0","3","2","2","2",2,0,0,14,2,0,0,30,0,0,0,0,0.575,0,0,2.946,0.079,0,0,80.223,0,0,0,0,30,18,0,80.223,3.6,0,48,83.823,3,0.777140995932613,0.707384219117712,13,2.8827,22,76.86712
"69","3","Dornburg","DO_2005",11.656257,51.003652,921,"Mollic_Leptosol","BB-RR","uuT","Silphie","E_Sp_old",8,2005,"2","spring",2013,2013-04-15,7.25,24.2859393053512,10.95,6.1,63,30.9,1.64,3.02,69.08,3.87,1.17,3145,17.3,17.13,49.63,11.02,0,6042,"50x50","0","3","1","2","2",65,60,0,173,111,10,1,24,3,1,4,5,18.842,17.05,0,33.516,12.606,1.959,0.816,77.775,0.223,1.022,3.172,0.1693,24,414,11,77.775,86.208,2.775,457,167.1503,8,1.34565059244329,0.647121145495743,195,55.8984,16,71.0891
"73","4","Dornburg","DO_2007",11.657904,51.000938,2319,"Mollic_Leptosol","BB-RR","uuT","Silphie","D_Sp_int2",6,2007,"2","spring",2013,2013-04-16,7.26,20.4206666250439,9.16,7.2,63.2,29.6,2.07,3.49,70.01,4.19,1.17,3161,15,15.41,65.29,12.14,0,3368,"50x50","0","3","1","2","2",19,0,0,5,3,0,0,21,0,0,3,3,14.486,0,0,1.615,0.498,0,0,64.186,0,0,2.327,0,21,30,0,64.186,18.926,0,54,83.112,4,1.13740229789687,0.820462327335762,17,13.7955,14,63.6536
"77","5","Erfurt","EF_2007",11.005805,50.98336,172,"Chernozem","TTn","uuT","Silphie","D_Sp_int2",6,2007,"2","spring",2013,2013-04-23,7.46,18.0277539060268,12.36,12.7,60.2,27.1,6.41,6.04,72.04,6.14,0.57,3429,13.88,12.85,59.55,11.76,0,4577,"90x50","0","3","1","2","2",22,0,0,0,3,0,0,36,0,0,0,3,18.572,0,0,0,1.001,0,0,96.469,0,0,0,0,36,25,0,96.469,19.573,0,64,116.042,2,0.663725497472231,0.957553483714748,14,15.0133,19,90.3404
"81","6","Pahren","PA_2007",11.89876,50.653093,6676,"stagnic_Luvisol","SSn","ttU","Silphie","D_Sp_int2",6,2007,"2","spring",2013,2013-04-17,6.14,19.617879225955,8.59,28.9,51.1,20,1.49,1.95,76.77,2.1,0.57,3451,14.95,15.03,63.46,9.49,0,5374,"50x50","0","4","3","4","2",47,0,0,4,12,9,0,1,0,0,0,3,50.83,0,0,0.681,3.279,3.463,0,1.538,0,0,0,2.7779,1,63,9,1.538,54.79,3.463,76,62.5689,4,0.729281472027765,0.52606538155333,43,47.8818,1,1.5378
"85","7","Dornburg","DO_2009",11.657303,51.000746,1609,"Mollic_Leptosol","BB-RR","uuT","Silphie","C_Sp_int1",4,2009,"2","spring",2013,2013-04-16,7.08,21.3876224120697,8.52,10.1,62.4,27.5,2.07,3.49,70.01,4.19,1.17,3161,15,15.41,65.29,12.14,0,3368,"50x50","0","4","1","3","2",14,0,0,7,2,0,0,10,0,0,0,0,10.351,0,0,2.418,0.299,0,0,32.389,0,0,0,0,10,23,0,32.389,13.068,0,33,45.457,3,1.05998641132575,0.964841211280108,18,11.3293,6,32.0505
"89","8","Erfurt","EF_2009",11.004722,50.981567,2818,"Chernozem","TTn","uuT","Silphie","C_Sp_int1",4,2009,"2","spring",2013,2013-04-23,7.51,19.9470762261918,13.15,10.2,62.1,27.7,6.41,6.04,72.04,6.14,0.57,3429,13.88,12.85,59.55,11.76,0,4577,"90x50","0","3","1","3","2",5,0,0,1,1,0,0,7,0,0,0,0,6.096,0,0,0,0.053,0,0,9.322,0,0,0,0,7,7,0,9.322,6.149,0,14,15.471,3,0.898137003187868,0.81751953118667,6,6.0955,1,8.6353
"93","9","Poppenburg","PO_2009",9.780602,52.145969,120,"Haplic_Luvisol","LLn","tU","Silphie","C_Sp_int1",4,2009,"2","spring",2013,2013-04-10,6.48,21.2863151663566,9.02,16.9,68.6,14.5,-0.84,8.84,75.66,7.83,2.15,3442,1.56,1.4,79.91,2.74,0,2202,"50x50","0","3","2","2","2",10,2,17,11,13,0,0,46,0,0,0,7,5.271,0.899,14.338,1.566,1.569,0,0,60.114,0,0,0,0,63,36,0,74.452,9.305,0,106,83.757,5,1.25584584998262,0.78030089901591,16,6.5207,17,55.9176
"97","10","Erfurt","EF_2011",10.999336,50.980493,9247,"Chernozem","TTn","uuT","Silphie","B_Sp_young",2,2011,"2","spring",2013,2013-04-23,7.52,19.1554532944631,18.34,12.7,58,29.3,6.41,6.04,72.04,6.14,0.57,3429,13.88,12.85,59.55,11.76,0,4577,"90x50","0","3","1","3","2",2,0,0,20,9,0,0,6,0,0,0,2,1.766,0,0,4.163,0.548,0,0,15.829,0,0,0,0,6,31,0,15.829,6.477,0,39,22.306,3,0.75893677276206,0.690814021097605,17,4.8111,4,15.6221
"101","11","Niederdorla","ND_2011",10.399994,51.136251,9278,"Stagnic_Luvisol","SS-LL","tU","Silphie","B_Sp_young",2,2011,"2","spring",2013,2013-04-22,7.08,21.7385735021486,8.82,10.1,69.6,20.3,4.74,5.04,76.8,4.71,0.9,3622,10.27,10.04,72.48,10.03,0,2239,"50x50","0","2","2","3","3",6,0,0,3,3,0,0,23,0,0,0,0,3.398,0,0,0.487,0.172,0,0,43.52,0,0,0,0,23,12,0,43.52,4.057,0,35,47.577,3,0.773149632557755,0.703751123606194,9,3.8841,8,42.484
