ID	Feld	C	N
177	PA_2007	2.5078	0.27229
178	PA_2007	2.8917	0.30831
179	PA_2007	2.4213	0.26351
180	PA_2007	2.1459	0.23833
181	DO_2009	1.1647	0.11933
182	DO_2009	1.128	0.12725
183	DO_2009	1.084	0.12096
184	DO_2009	1.106	0.11932
185	DO_2009	1.0781	0.1176
186	EF_2009	2.1573	0.13947
187	EF_2009	2.4246	0.18122
188	EF_2009	2.667	0.16396
189	EF_2009	2.5674	0.20093
190	EF_2009	2.2334	0.16174
191	PO_2009	1.0209	0.10289
192	PO_2009	1.0446	0.10758
193	PO_2009	1.1894	0.12402
194	PO_2009	1.2035	0.12866
195	PO_2009	1.1049	0.11015
196	EF_2011	2.4715	0.12157
197	EF_2011	2.2622	0.11362
198	EF_2011	2.2935	0.11436
199	EF_2011	2.5162	0.13439
200	EF_2011	2.4793	0.12468
201	ND_2011	2.4966	0.26164
202	ND_2011	2.536	0.25226
203	ND_2011	2.5177	0.26565
204	ND_2011	2.5711	0.26998
205	ND_2011	2.5647	0.28844
206	RO_2011	1.4488	0.13658
207	RO_2011	1.5427	0.146
208	RO_2011	1.4732	0.13653
209	RO_2011	1.4794	0.13736
210	RO_2011	1.3434	0.13012
211	DO_MaisII	1.0047	0.12199
212	DO_MaisII	1.0645	0.12124
213	DO_MaisII	1.1233	0.11596
214	DO_MaisII	1.0631	0.11911
215	DO_MaisII	1.1192	0.12447
216	PA_Mais	3.2183	0.32271
217	PA_Mais	3.5658	0.37679
218	PA_Mais	3.2855	0.34757
219	PA_Mais	3.6281	0.36019
220	PA_Mais	3.3149	0.35504
221	RO_MaisII	1.9737	0.202
222	RO_MaisII	1.4918	0.15105
223	RO_MaisII	2.0647	0.20837
224	RO_MaisII	1.844	0.16461
225	RO_MaisII	1.8675	0.16241
