WRB	BO_Syst	soty	crop	pH	mc	cn	sand	silt	clay	ata1	atb1	hum1	ats1	prec1	rad1	ata2	atb2	hum2	ats2	prec2	rad2
Chernozem	TTn	uuT	Silphie	7.36	15.50	18.34	12.70	58.00	29.30	11.85	10.47	75.37	12.79	1.12	2795.00	8.88	7.19	73.82	8.88	0.00	2836.00
Stagnic_Luvisol	SS-LL	tU	Silphie	6.77	23.49	8.82	10.10	69.60	20.30	7.11	6.75	89.54	7.86	1.13	1421.97	7.87	7.45	81.59	6.97	0.00	390.00
Stagnic_Luvisol	SS-LL	tU	Silphie	6.77	23.49	8.82	10.10	69.60	20.30	7.11	6.75	89.54	7.86	1.13	1421.97	7.87	7.45	81.59	6.97	0.00	390.00
Stagnic_Luvisol	SS-LL	tU	Silphie	6.77	23.49	8.82	10.10	69.60	20.30	7.11	6.75	89.54	7.86	1.13	1421.97	7.87	7.45	81.59	6.97	0.00	390.00
Stagnic_Luvisol	SS-LL	tU	Silphie	6.77	23.49	8.82	10.10	69.60	20.30	7.11	6.75	89.54	7.86	1.13	1421.97	7.87	7.45	81.59	6.97	0.00	390.00
Haplic_Luvisol	LLn	ttU	Silphie	5.30	15.90	9.86	10.40	75.10	14.50	11.81	11.41	82.77	12.03	3.00	2046.00	10.85	10.89	94.55	12.53	0.00	383.00
Haplic_Luvisol	LLn	ttU	Silphie	5.30	15.90	9.86	10.40	75.10	14.50	11.81	11.41	82.77	12.03	3.00	2046.00	10.85	10.89	94.55	12.53	0.00	383.00
Haplic_Luvisol	LLn	ttU	Silphie	5.30	15.90	9.86	10.40	75.10	14.50	11.81	11.41	82.77	12.03	3.00	2046.00	10.85	10.89	94.55	12.53	0.00	383.00
Haplic_Luvisol	LLn	ttU	Silphie	5.30	15.90	9.86	10.40	75.10	14.50	11.81	11.41	82.77	12.03	3.00	2046.00	10.85	10.89	94.55	12.53	0.00	383.00
Mollic_Leptosol	BB-RR	uuT	Maize	6.34	12.76	8.25	7.40	60.50	32.10	16.95	17.48	67.48	18.98	1.85	3848.80	16.29	16.58	69.24	16.55	11.20	4130.00
Mollic_Leptosol	BB-RR	uuT	Maize	6.34	12.76	8.25	7.40	60.50	32.10	16.95	17.48	67.48	18.98	1.85	3848.80	16.29	16.58	69.24	16.55	11.20	4130.00
Mollic_Leptosol	BB-RR	uuT	Maize	6.34	12.76	8.25	7.40	60.50	32.10	16.95	17.48	67.48	18.98	1.85	3848.80	16.29	16.58	69.24	16.55	11.20	4130.00
Mollic_Leptosol	BB-RR	uuT	Maize	6.34	12.76	8.25	7.40	60.50	32.10	16.95	17.48	67.48	18.98	1.85	3848.80	16.29	16.58	69.24	16.55	11.20	4130.00
Stagnic_Luvisol	SS-LL	tU	Maize	6.00	19.48	9.02	7.60	72.00	20.40	9.92	9.71	86.56	11.24	1.40	2705.47	7.14	7.13	96.00	8.88	0.90	864.00
Stagnic_Luvisol	SS-LL	tU	Maize	6.00	19.48	9.02	7.60	72.00	20.40	9.92	9.71	86.56	11.24	1.40	2705.47	7.14	7.13	96.00	8.88	0.90	864.00
Stagnic_Luvisol	SS-LL	tU	Maize	6.00	19.48	9.02	7.60	72.00	20.40	9.92	9.71	86.56	11.24	1.40	2705.47	7.14	7.13	96.00	8.88	0.90	864.00
Stagnic_Luvisol	SS-LL	tU	Maize	6.00	19.48	9.02	7.60	72.00	20.40	9.92	9.71	86.56	11.24	1.40	2705.47	7.14	7.13	96.00	8.88	0.90	864.00
Haplic_Luvisol	LLn	ttU	Maize	5.82	16.79	8.91	10.20	75.30	14.50	11.81	11.41	82.77	12.03	3.00	2046.00	10.85	10.89	94.55	12.53	0.00	383.00
Haplic_Luvisol	LLn	ttU	Maize	5.82	16.79	8.91	10.20	75.30	14.50	11.81	11.41	82.77	12.03	3.00	2046.00	10.85	10.89	94.55	12.53	0.00	383.00
Haplic_Luvisol	LLn	ttU	Maize	5.82	16.79	8.91	10.20	75.30	14.50	11.81	11.41	82.77	12.03	3.00	2046.00	10.85	10.89	94.55	12.53	0.00	383.00
Haplic_Luvisol	LLn	ttU	Maize	5.82	16.79	8.91	10.20	75.30	14.50	11.81	11.41	82.77	12.03	3.00	2046.00	10.85	10.89	94.55	12.53	0.00	383.00
Mollic_Leptosol	BB-RR	uuT	Silphie	5.72	19.53	8.33	10.80	55.20	34.00	1.64	3.02	69.08	3.87	1.17	3145.20	17.30	17.13	49.63	11.02	0.00	6042.00
Mollic_Leptosol	BB-RR	uuT	Silphie	5.72	19.53	8.33	10.80	55.20	34.00	1.64	3.02	69.08	3.87	1.17	3145.20	17.30	17.13	49.63	11.02	0.00	6042.00
Mollic_Leptosol	BB-RR	uuT	Silphie	5.72	19.53	8.33	10.80	55.20	34.00	1.64	3.02	69.08	3.87	1.17	3145.20	17.30	17.13	49.63	11.02	0.00	6042.00
Mollic_Leptosol	BB-RR	uuT	Silphie	5.72	19.53	8.33	10.80	55.20	34.00	1.64	3.02	69.08	3.87	1.17	3145.20	17.30	17.13	49.63	11.02	0.00	6042.00
Terra_Fusca	CFn	uT	Silphie	5.27	20.49	8.98	12.30	50.40	37.30	4.97	5.53	71.06	5.04	0.91	3397.70	11.23	13.46	68.78	10.81	0.00	6076.00
Terra_Fusca	CFn	uT	Silphie	5.27	20.49	8.98	12.30	50.40	37.30	4.97	5.53	71.06	5.04	0.91	3397.70	11.23	13.46	68.78	10.81	0.00	6076.00
Terra_Fusca	CFn	uT	Silphie	5.27	20.49	8.98	12.30	50.40	37.30	4.97	5.53	71.06	5.04	0.91	3397.70	11.23	13.46	68.78	10.81	0.00	6076.00
Terra_Fusca	CFn	uT	Silphie	5.27	20.49	8.98	12.30	50.40	37.30	4.97	5.53	71.06	5.04	0.91	3397.70	11.23	13.46	68.78	10.81	0.00	6076.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.25	19.54	10.95	6.10	63.00	30.90	1.64	3.02	69.08	3.87	1.17	3145.20	17.30	17.13	49.63	11.02	0.00	6042.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.25	19.54	10.95	6.10	63.00	30.90	1.64	3.02	69.08	3.87	1.17	3145.20	17.30	17.13	49.63	11.02	0.00	6042.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.25	19.54	10.95	6.10	63.00	30.90	1.64	3.02	69.08	3.87	1.17	3145.20	17.30	17.13	49.63	11.02	0.00	6042.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.25	19.54	10.95	6.10	63.00	30.90	1.64	3.02	69.08	3.87	1.17	3145.20	17.30	17.13	49.63	11.02	0.00	6042.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.26	16.95	9.16	7.20	63.20	29.60	2.07	3.49	70.01	4.19	1.17	3160.87	15.00	15.41	65.29	12.14	0.00	3368.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.26	16.95	9.16	7.20	63.20	29.60	2.07	3.49	70.01	4.19	1.17	3160.87	15.00	15.41	65.29	12.14	0.00	3368.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.26	16.95	9.16	7.20	63.20	29.60	2.07	3.49	70.01	4.19	1.17	3160.87	15.00	15.41	65.29	12.14	0.00	3368.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.26	16.95	9.16	7.20	63.20	29.60	2.07	3.49	70.01	4.19	1.17	3160.87	15.00	15.41	65.29	12.14	0.00	3368.00
Chernozem	TTn	uuT	Silphie	7.46	15.27	12.36	12.70	60.20	27.10	6.41	6.04	72.04	6.14	0.57	3428.53	13.88	12.85	59.55	11.76	0.00	4577.00
Chernozem	TTn	uuT	Silphie	7.46	15.27	12.36	12.70	60.20	27.10	6.41	6.04	72.04	6.14	0.57	3428.53	13.88	12.85	59.55	11.76	0.00	4577.00
Chernozem	TTn	uuT	Silphie	7.46	15.27	12.36	12.70	60.20	27.10	6.41	6.04	72.04	6.14	0.57	3428.53	13.88	12.85	59.55	11.76	0.00	4577.00
Chernozem	TTn	uuT	Silphie	7.46	15.27	12.36	12.70	60.20	27.10	6.41	6.04	72.04	6.14	0.57	3428.53	13.88	12.85	59.55	11.76	0.00	4577.00
stagnic_Luvisol	SSn	ttU	Silphie	6.14	16.39	8.59	28.90	51.10	20.00	1.49	1.95	76.77	2.10	0.57	3450.80	14.95	15.03	63.46	9.49	0.00	5374.00
stagnic_Luvisol	SSn	ttU	Silphie	6.14	16.39	8.59	28.90	51.10	20.00	1.49	1.95	76.77	2.10	0.57	3450.80	14.95	15.03	63.46	9.49	0.00	5374.00
stagnic_Luvisol	SSn	ttU	Silphie	6.14	16.39	8.59	28.90	51.10	20.00	1.49	1.95	76.77	2.10	0.57	3450.80	14.95	15.03	63.46	9.49	0.00	5374.00
stagnic_Luvisol	SSn	ttU	Silphie	6.14	16.39	8.59	28.90	51.10	20.00	1.49	1.95	76.77	2.10	0.57	3450.80	14.95	15.03	63.46	9.49	0.00	5374.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.08	17.62	8.52	10.10	62.40	27.50	2.07	3.49	70.01	4.19	1.17	3160.87	15.00	15.41	65.29	12.14	0.00	3368.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.08	17.62	8.52	10.10	62.40	27.50	2.07	3.49	70.01	4.19	1.17	3160.87	15.00	15.41	65.29	12.14	0.00	3368.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.08	17.62	8.52	10.10	62.40	27.50	2.07	3.49	70.01	4.19	1.17	3160.87	15.00	15.41	65.29	12.14	0.00	3368.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.08	17.62	8.52	10.10	62.40	27.50	2.07	3.49	70.01	4.19	1.17	3160.87	15.00	15.41	65.29	12.14	0.00	3368.00
Chernozem	TTn	uuT	Silphie	7.51	16.62	13.15	10.20	62.10	27.70	6.41	6.04	72.04	6.14	0.57	3428.53	13.88	12.85	59.55	11.76	0.00	4577.00
Chernozem	TTn	uuT	Silphie	7.51	16.62	13.15	10.20	62.10	27.70	6.41	6.04	72.04	6.14	0.57	3428.53	13.88	12.85	59.55	11.76	0.00	4577.00
Chernozem	TTn	uuT	Silphie	7.51	16.62	13.15	10.20	62.10	27.70	6.41	6.04	72.04	6.14	0.57	3428.53	13.88	12.85	59.55	11.76	0.00	4577.00
Chernozem	TTn	uuT	Silphie	7.51	16.62	13.15	10.20	62.10	27.70	6.41	6.04	72.04	6.14	0.57	3428.53	13.88	12.85	59.55	11.76	0.00	4577.00
Haplic_Luvisol	LLn	tU	Silphie	6.48	17.54	9.02	16.90	68.60	14.50	-0.84	8.84	75.66	7.83	2.15	3441.97	1.56	1.40	79.91	2.74	0.00	2202.00
Haplic_Luvisol	LLn	tU	Silphie	6.48	17.54	9.02	16.90	68.60	14.50	-0.84	8.84	75.66	7.83	2.15	3441.97	1.56	1.40	79.91	2.74	0.00	2202.00
Haplic_Luvisol	LLn	tU	Silphie	6.48	17.54	9.02	16.90	68.60	14.50	-0.84	8.84	75.66	7.83	2.15	3441.97	1.56	1.40	79.91	2.74	0.00	2202.00
Haplic_Luvisol	LLn	tU	Silphie	6.48	17.54	9.02	16.90	68.60	14.50	-0.84	8.84	75.66	7.83	2.15	3441.97	1.56	1.40	79.91	2.74	0.00	2202.00
Chernozem	TTn	uuT	Silphie	7.52	16.07	18.34	12.70	58.00	29.30	6.41	6.04	72.04	6.14	0.57	3428.53	13.88	12.85	59.55	11.76	0.00	4577.00
Chernozem	TTn	uuT	Silphie	7.52	16.07	18.34	12.70	58.00	29.30	6.41	6.04	72.04	6.14	0.57	3428.53	13.88	12.85	59.55	11.76	0.00	4577.00
Chernozem	TTn	uuT	Silphie	7.52	16.07	18.34	12.70	58.00	29.30	6.41	6.04	72.04	6.14	0.57	3428.53	13.88	12.85	59.55	11.76	0.00	4577.00
Chernozem	TTn	uuT	Silphie	7.52	16.07	18.34	12.70	58.00	29.30	6.41	6.04	72.04	6.14	0.57	3428.53	13.88	12.85	59.55	11.76	0.00	4577.00
Stagnic_Luvisol	SS-LL	tU	Silphie	7.08	17.85	8.82	10.10	69.60	20.30	4.74	5.04	76.80	4.71	0.90	3621.97	10.27	10.04	72.48	10.03	0.00	2239.00
Stagnic_Luvisol	SS-LL	tU	Silphie	7.08	17.85	8.82	10.10	69.60	20.30	4.74	5.04	76.80	4.71	0.90	3621.97	10.27	10.04	72.48	10.03	0.00	2239.00
Stagnic_Luvisol	SS-LL	tU	Silphie	7.08	17.85	8.82	10.10	69.60	20.30	4.74	5.04	76.80	4.71	0.90	3621.97	10.27	10.04	72.48	10.03	0.00	2239.00
Stagnic_Luvisol	SS-LL	tU	Silphie	7.08	17.85	8.82	10.10	69.60	20.30	4.74	5.04	76.80	4.71	0.90	3621.97	10.27	10.04	72.48	10.03	0.00	2239.00
Haplic_Luvisol	LLn	ttU	Silphie	5.66	21.25	9.86	10.40	75.10	14.50	0.08	0.13	76.85	1.60	0.41	3037.40	7.43	7.23	90.15	5.24	0.80	1739.00
Haplic_Luvisol	LLn	ttU	Silphie	5.66	21.25	9.86	10.40	75.10	14.50	0.08	0.13	76.85	1.60	0.41	3037.40	7.43	7.23	90.15	5.24	0.80	1739.00
Haplic_Luvisol	LLn	ttU	Silphie	5.66	21.25	9.86	10.40	75.10	14.50	0.08	0.13	76.85	1.60	0.41	3037.40	7.43	7.23	90.15	5.24	0.80	1739.00
Haplic_Luvisol	LLn	ttU	Silphie	5.66	21.25	9.86	10.40	75.10	14.50	0.08	0.13	76.85	1.60	0.41	3037.40	7.43	7.23	90.15	5.24	0.80	1739.00
Mollic_Leptosol	BB-RR	uT	Maize	7.43	18.14	8.91	5.10	61.10	33.80	1.64	3.02	69.08	3.87	1.17	3145.20	17.30	17.13	49.63	11.02	0.00	6042.00
Mollic_Leptosol	BB-RR	uT	Maize	7.43	18.14	8.91	5.10	61.10	33.80	1.64	3.02	69.08	3.87	1.17	3145.20	17.30	17.13	49.63	11.02	0.00	6042.00
Mollic_Leptosol	BB-RR	uT	Maize	7.43	18.14	8.91	5.10	61.10	33.80	1.64	3.02	69.08	3.87	1.17	3145.20	17.30	17.13	49.63	11.02	0.00	6042.00
Mollic_Leptosol	BB-RR	uT	Maize	7.43	18.14	8.91	5.10	61.10	33.80	1.64	3.02	69.08	3.87	1.17	3145.20	17.30	17.13	49.63	11.02	0.00	6042.00
stagnic_Luvisol	SSn	sL	Maize	5.90	21.36	9.70	28.90	49.60	21.50	1.49	1.95	76.77	2.10	0.57	3450.80	14.95	15.03	63.46	9.49	0.00	5374.00
stagnic_Luvisol	SSn	sL	Maize	5.90	21.36	9.70	28.90	49.60	21.50	1.49	1.95	76.77	2.10	0.57	3450.80	14.95	15.03	63.46	9.49	0.00	5374.00
stagnic_Luvisol	SSn	sL	Maize	5.90	21.36	9.70	28.90	49.60	21.50	1.49	1.95	76.77	2.10	0.57	3450.80	14.95	15.03	63.46	9.49	0.00	5374.00
stagnic_Luvisol	SSn	sL	Maize	5.90	21.36	9.70	28.90	49.60	21.50	1.49	1.95	76.77	2.10	0.57	3450.80	14.95	15.03	63.46	9.49	0.00	5374.00
Haplic_Luvisol	LLn	ttU	Maize	7.19	19.44	10.45	9.40	72.10	18.50	0.08	0.13	76.85	1.60	0.41	3037.40	7.43	7.23	90.15	5.24	0.80	1739.00
Haplic_Luvisol	LLn	ttU	Maize	7.19	19.44	10.45	9.40	72.10	18.50	0.08	0.13	76.85	1.60	0.41	3037.40	7.43	7.23	90.15	5.24	0.80	1739.00
Haplic_Luvisol	LLn	ttU	Maize	7.19	19.44	10.45	9.40	72.10	18.50	0.08	0.13	76.85	1.60	0.41	3037.40	7.43	7.23	90.15	5.24	0.80	1739.00
Haplic_Luvisol	LLn	ttU	Maize	7.19	19.44	10.45	9.40	72.10	18.50	0.08	0.13	76.85	1.60	0.41	3037.40	7.43	7.23	90.15	5.24	0.80	1739.00
Mollic_Leptosol	BB-RR	uuT	Silphie	5.71	18.34	8.33	10.80	55.20	34.00	10.91	13.39	73.71	15.11	1.72	2392.00	12.58	13.78	71.00	13.97	0.00	1849.00
Mollic_Leptosol	BB-RR	uuT	Silphie	5.71	18.34	8.33	10.80	55.20	34.00	10.91	13.39	73.71	15.11	1.72	2392.00	12.58	13.78	71.00	13.97	0.00	1849.00
Mollic_Leptosol	BB-RR	uuT	Silphie	5.71	18.34	8.33	10.80	55.20	34.00	10.91	13.39	73.71	15.11	1.72	2392.00	12.58	13.78	71.00	13.97	0.00	1849.00
Mollic_Leptosol	BB-RR	uuT	Silphie	5.71	18.34	8.33	10.80	55.20	34.00	10.91	13.39	73.71	15.11	1.72	2392.00	12.58	13.78	71.00	13.97	0.00	1849.00
Terra_Fusca	CFn	uT	Silphie	5.11	32.00	8.98	12.30	50.40	37.30	8.98	10.15	80.53	11.61	2.40	2234.80	7.19	8.28	90.38	9.47	0.10	679.00
Terra_Fusca	CFn	uT	Silphie	5.11	32.00	8.98	12.30	50.40	37.30	8.98	10.15	80.53	11.61	2.40	2234.80	7.19	8.28	90.38	9.47	0.10	679.00
Terra_Fusca	CFn	uT	Silphie	5.11	32.00	8.98	12.30	50.40	37.30	8.98	10.15	80.53	11.61	2.40	2234.80	7.19	8.28	90.38	9.47	0.10	679.00
Terra_Fusca	CFn	uT	Silphie	5.11	32.00	8.98	12.30	50.40	37.30	8.98	10.15	80.53	11.61	2.40	2234.80	7.19	8.28	90.38	9.47	0.10	679.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.00	20.99	10.95	6.10	63.00	30.90	10.91	13.39	73.71	15.11	1.72	2392.00	12.58	13.78	71.00	13.97	0.00	1849.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.00	20.99	10.95	6.10	63.00	30.90	10.91	13.39	73.71	15.11	1.72	2392.00	12.58	13.78	71.00	13.97	0.00	1849.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.00	20.99	10.95	6.10	63.00	30.90	10.91	13.39	73.71	15.11	1.72	2392.00	12.58	13.78	71.00	13.97	0.00	1849.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.00	20.99	10.95	6.10	63.00	30.90	10.91	13.39	73.71	15.11	1.72	2392.00	12.58	13.78	71.00	13.97	0.00	1849.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.20	17.91	9.16	7.20	63.20	29.60	10.98	13.31	73.38	14.97	0.72	2391.67	12.93	13.70	70.58	14.13	0.80	2096.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.20	17.91	9.16	7.20	63.20	29.60	10.98	13.31	73.38	14.97	0.72	2391.67	12.93	13.70	70.58	14.13	0.80	2096.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.20	17.91	9.16	7.20	63.20	29.60	10.98	13.31	73.38	14.97	0.72	2391.67	12.93	13.70	70.58	14.13	0.80	2096.00
Mollic_Leptosol	BB-RR	uuT	Silphie	7.20	17.91	9.16	7.20	63.20	29.60	10.98	13.31	73.38	14.97	0.72	2391.67	12.93	13.70	70.58	14.13	0.80	2096.00
Chernozem	TTn	uuT	Silphie	6.73	21.81	12.36	12.70	60.20	27.10	10.46	9.66	83.28	12.06	1.12	2131.60	10.98	9.76	85.33	9.68	6.40	1289.00
Chernozem	TTn	uuT	Silphie	6.73	21.81	12.36	12.70	60.20	27.10	10.46	9.66	83.28	12.06	1.12	2131.60	10.98	9.76	85.33	9.68	6.40	1289.00
Chernozem	TTn	uuT	Silphie	6.73	21.81	12.36	12.70	60.20	27.10	10.46	9.66	83.28	12.06	1.12	2131.60	10.98	9.76	85.33	9.68	6.40	1289.00
Chernozem	TTn	uuT	Silphie	6.73	21.81	12.36	12.70	60.20	27.10	10.46	9.66	83.28	12.06	1.12	2131.60	10.98	9.76	85.33	9.68	6.40	1289.00
stagnic_Luvisol	SSn	ttU	Silphie	5.87	13.65	8.59	28.90	51.10	20.00	10.34	11.59	78.70	12.51	2.49	2643.87	11.63	12.10	88.58	11.13	0.00	1075.00
