ACA_BM	ACH_BM	ALO_BM	ARO_BM	END_BM	LCA_BM	LRU_BM	LTR_BM	LUM_BM	OCY_BM	OLA_BM	UNK_BM
1.5301	0	0	0	0.0563	0	0	3.0157	0	0	0	0
0.5637	0	0	0.2217	0.0167	0	0	24.5967	0	0	0	0
0.5717	0	0	0.2654	0	0	0	5.1473	0	0	0	0
0.7315	0	0	0	0.0986	0	0	10.7601	0	0	0	0
0	0	0	0	0	0	0	9.492	0	0	0	0
0.8774	0	4.0235	0	0	0	0	8.4188	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.2717	0	0	0	0	0	0	0	0	0	0	0
0	0.4912	0	0.6251	1.5608	0	0	0	0	0	0	0
1.6286	0.5747	0	0.424	0.535	0	0	4.9039	0	0	0	0
0.3405	1.2245	0	1.3715	0.8474	0	0	0	0	0	0	0
1.0484	0.2398	0	1.8292	1.7015	0	0	2.7213	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0.4003	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.1114	0	0	0.9572	0	0	0	0
0	1.1233	0	0	0	0	0	0.202	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.3213	0.0517	0	0	37.8371	0	2.6993	0	0
0	0	0	0	0.2284	0	0	15.3617	0	0	0	0
1.4753	0	0	0	0.3841	0	0	19.085	0	0	0	0
2.5036	0	0	0	0.449	0	0	13.6646	0	5.3321	0	0
2.3628	0	0	0.2325	0.1291	0	0	18.0537	0	0	0	0
2.4715	0	0	1.5551	0.2913	0	0	45.8331	0	0	0	0
0	0	0	0.1504	0.108	0	0	35.1509	0	0	0	0
1.0643	0	0	1.1735	0.4203	0	0	33.2987	0	0	0	0
2.9244	0.5598	0	0.2677	1.7676	0	0	2.1395	0	0	0	0
5.7156	4.2651	0	2.676	5.0305	0.3028	0	7.8252	0	0	0	0
3.6262	2.3434	0	3.5383	5.6239	0	0	5.6711	0	0	0	0
6.1949	6.0801	0	2.8567	5.1857	0.1236	0	0	0.76	0	0	0
1.8282	0	0	0.7047	0	0	0	3.5947	0.488	0	0	0
1.0335	0	0	0.907	0.6792	0	0	31.5877	1.5943	0	1.6299	0
1.5406	0	0	0.7925	0.448	0	0	8.9333	0	0	0	0
