age_class	age	y_est	samcam	season	year	date
A_Cm	0	2013	2	spring	2013	15.04.2013
A_Cm	0	2013	2	spring	2013	15.04.2013
A_Cm	0	2013	2	spring	2013	17.04.2013
A_Cm	0	2013	2	spring	2013	17.04.2013
A_Cm	0	2013	2	spring	2013	17.04.2013
A_Cm	0	2013	2	spring	2013	17.04.2013
A_Cm	0	2013	2	spring	2013	10.04.2013
A_Cm	0	2013	2	spring	2013	10.04.2013
A_Cm	0	2013	2	spring	2013	10.04.2013
A_Cm	0	2013	2	spring	2013	10.04.2013
E_Sp_old	9	2004	3	autumn	2013	08.10.2013
E_Sp_old	9	2004	3	autumn	2013	08.10.2013
E_Sp_old	9	2004	3	autumn	2013	08.10.2013
E_Sp_old	9	2004	3	autumn	2013	08.10.2013
E_Sp_old	9	2004	3	autumn	2013	16.10.2013
E_Sp_old	9	2004	3	autumn	2013	16.10.2013
E_Sp_old	9	2004	3	autumn	2013	16.10.2013
E_Sp_old	9	2004	3	autumn	2013	16.10.2013
E_Sp_old	8	2005	3	autumn	2013	08.10.2013
E_Sp_old	8	2005	3	autumn	2013	08.10.2013
E_Sp_old	8	2005	3	autumn	2013	08.10.2013
E_Sp_old	8	2005	3	autumn	2013	08.10.2013
D_Sp_int2	6	2007	3	autumn	2013	09.10.2013
D_Sp_int2	6	2007	3	autumn	2013	09.10.2013
D_Sp_int2	6	2007	3	autumn	2013	09.10.2013
D_Sp_int2	6	2007	3	autumn	2013	09.10.2013
D_Sp_int2	6	2007	3	autumn	2013	15.10.2013
D_Sp_int2	6	2007	3	autumn	2013	15.10.2013
D_Sp_int2	6	2007	3	autumn	2013	15.10.2013
D_Sp_int2	6	2007	3	autumn	2013	15.10.2013
D_Sp_int2	6	2007	3	autumn	2013	07.10.2013
D_Sp_int2	6	2007	3	autumn	2013	07.10.2013
D_Sp_int2	6	2007	3	autumn	2013	07.10.2013
D_Sp_int2	6	2007	3	autumn	2013	07.10.2013
C_Sp_int1	4	2009	3	autumn	2013	09.10.2013
C_Sp_int1	4	2009	3	autumn	2013	09.10.2013
C_Sp_int1	4	2009	3	autumn	2013	09.10.2013
C_Sp_int1	4	2009	3	autumn	2013	09.10.2013
C_Sp_int1	4	2009	3	autumn	2013	15.10.2013
C_Sp_int1	4	2009	3	autumn	2013	15.10.2013
C_Sp_int1	4	2009	3	autumn	2013	15.10.2013
C_Sp_int1	4	2009	3	autumn	2013	15.10.2013
C_Sp_int1	4	2009	3	autumn	2013	01.10.2013
C_Sp_int1	4	2009	3	autumn	2013	01.10.2013
C_Sp_int1	4	2009	3	autumn	2013	01.10.2013
C_Sp_int1	4	2009	3	autumn	2013	01.10.2013
B_Sp_young	2	2011	3	autumn	2013	14.10.2013
B_Sp_young	2	2011	3	autumn	2013	14.10.2013
B_Sp_young	2	2011	3	autumn	2013	14.10.2013
B_Sp_young	2	2011	3	autumn	2013	14.10.2013
B_Sp_young	2	2011	3	autumn	2013	14.10.2013
B_Sp_young	2	2011	3	autumn	2013	14.10.2013
B_Sp_young	2	2011	3	autumn	2013	14.10.2013
B_Sp_young	2	2011	3	autumn	2013	14.10.2013
B_Sp_young	2	2011	3	autumn	2013	30.11.2013
B_Sp_young	2	2011	3	autumn	2013	30.11.2013
B_Sp_young	2	2011	3	autumn	2013	30.11.2013
B_Sp_young	2	2011	3	autumn	2013	30.11.2013
A_Cm	0	2013	3	autumn	2013	08.10.2013
A_Cm	0	2013	3	autumn	2013	08.10.2013
A_Cm	0	2013	3	autumn	2013	08.10.2013
A_Cm	0	2013	3	autumn	2013	08.10.2013
A_Cm	0	2013	3	autumn	2013	07.10.2013
A_Cm	0	2013	3	autumn	2013	07.10.2013
A_Cm	0	2013	3	autumn	2013	07.10.2013
A_Cm	0	2013	3	autumn	2013	07.10.2013
A_Cm	0	2013	3	autumn	2013	30.11.2013
A_Cm	0	2013	3	autumn	2013	30.11.2013
A_Cm	0	2013	3	autumn	2013	30.11.2013
A_Cm	0	2013	3	autumn	2013	30.11.2013
