season	year	ID	fieldID	field	hole	ACAad	ACAj	ACHad	ACHj	AROad	AROj	ENDad	ENDj	OCYa	OCYj	OLA
spring	2013	77	5	EF_2007	1	3	0	0	0	0	0	0	2	0	0	0
spring	2013	78	5	EF_2007	2	6	0	0	0	0	0	0	0	0	0	0
spring	2013	79	5	EF_2007	3	3	2	0	0	0	0	0	0	0	0	0
spring	2013	80	5	EF_2007	4	2	6	0	0	0	0	0	1	0	0	0
spring	2013	81	6	PA_2007	1	8	4	0	0	0	0	0	2	0	0	0
spring	2013	82	6	PA_2007	2	9	2	0	0	1	0	0	3	0	0	0
spring	2013	83	6	PA_2007	3	11	1	0	0	1	0	0	3	0	0	0
spring	2013	84	6	PA_2007	4	12	0	0	0	1	1	0	4	0	0	0
spring	2013	85	7	DO_2009	1	1	0	0	0	1	0	0	1	0	0	0
spring	2013	86	7	DO_2009	2	0	1	0	0	5	1	0	1	0	0	0
spring	2013	87	7	DO_2009	3	4	1	0	0	0	0	0	0	0	0	0
spring	2013	88	7	DO_2009	4	7	0	0	0	0	0	0	0	0	0	0
spring	2013	89	8	EF_2009	1	0	0	0	0	0	0	0	0	0	0	0
spring	2013	90	8	EF_2009	2	0	0	0	0	1	0	0	0	0	0	0
spring	2013	91	8	EF_2009	3	0	0	0	0	0	0	0	0	0	0	0
spring	2013	92	8	EF_2009	4	5	0	0	0	0	0	0	1	0	0	0
spring	2013	93	9	PO_2009	1	2	0	1	0	1	7	0	2	0	0	0
spring	2013	94	9	PO_2009	2	2	0	0	0	1	1	2	6	0	0	0
spring	2013	95	9	PO_2009	3	3	0	0	0	0	0	0	2	0	0	0
spring	2013	96	9	PO_2009	4	3	0	0	1	1	0	0	1	0	0	0
spring	2013	97	10	EF_2011	1	2	0	0	0	2	4	0	2	0	0	0
spring	2013	98	10	EF_2011	2	0	0	0	0	8	0	0	2	0	0	0
spring	2013	99	10	EF_2011	3	0	0	0	0	4	1	1	3	0	0	0
spring	2013	100	10	EF_2011	4	0	0	0	0	0	1	0	1	0	0	0
spring	2013	101	11	ND_2011	1	2	0	0	0	0	0	0	1	0	0	0
spring	2013	102	11	ND_2011	2	2	0	0	0	1	0	0	1	0	0	0
spring	2013	103	11	ND_2011	3	1	0	0	0	2	0	0	0	0	0	0
spring	2013	104	11	ND_2011	4	1	0	0	0	0	0	0	1	0	0	0
spring	2013	105	12	RO_2011	1	0	0	0	0	0	0	0	0	0	0	0
spring	2013	106	12	RO_2011	2	1	0	0	0	0	0	0	0	0	0	0
spring	2013	107	12	RO_2011	3	0	0	0	0	0	0	0	0	0	0	0
spring	2013	108	12	RO_2011	4	1	0	0	0	0	0	0	0	0	0	0
spring	2013	109	16	DO_MaisII	1	0	0	2	0	3	0	0	7	0	0	0
spring	2013	110	16	DO_MaisII	2	4	0	2	0	1	0	0	7	0	0	0
spring	2013	111	16	DO_MaisII	3	1	0	4	0	6	0	0	5	0	0	0
spring	2013	112	16	DO_MaisII	4	1	0	2	0	6	1	0	10	0	0	0
spring	2013	113	17	PA_Mais	1	0	0	0	0	0	0	0	0	0	0	0
spring	2013	114	17	PA_Mais	2	0	0	0	0	0	0	0	0	0	0	0
spring	2013	115	17	PA_Mais	3	0	0	0	0	0	0	0	0	0	0	0
spring	2013	116	17	PA_Mais	4	0	0	0	0	0	0	0	0	0	0	0
spring	2013	117	18	RO_MaisII	1	0	0	1	0	0	0	0	0	0	0	0
spring	2013	118	18	RO_MaisII	2	0	0	0	0	0	0	0	1	0	0	0
spring	2013	119	18	RO_MaisII	3	0	0	3	1	0	0	0	0	0	0	0
spring	2013	120	18	RO_MaisII	4	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	121	1	DO_2004	1	0	0	0	0	1	0	0	1	2	0	0
autumn	2013	122	1	DO_2004	2	1	0	0	0	0	0	0	2	0	0	0
autumn	2013	123	1	DO_2004	3	2	0	0	0	0	0	0	4	0	0	0
autumn	2013	124	1	DO_2004	4	2	0	0	0	0	0	0	1	2	0	0
autumn	2013	125	2	HE_2004	1	3	2	0	0	1	0	0	3	0	0	0
autumn	2013	126	2	HE_2004	2	2	0	0	0	6	0	0	5	0	0	0
autumn	2013	127	2	HE_2004	3	0	0	0	0	1	0	0	1	0	0	0
autumn	2013	128	2	HE_2004	4	2	0	0	0	4	0	0	4	0	0	0
autumn	2013	129	3	DO_2005	1	6	0	2	0	1	0	0	13	0	0	0
autumn	2013	130	3	DO_2005	2	9	0	10	0	9	0	0	40	0	0	0
autumn	2013	131	3	DO_2005	3	5	1	6	0	16	0	0	37	0	0	0
autumn	2013	132	3	DO_2005	4	11	4	19	1	12	0	0	53	0	0	0
autumn	2013	133	4	DO_2007	1	2	0	0	0	2	0	0	0	0	0	0
autumn	2013	134	4	DO_2007	2	1	0	0	0	3	0	0	7	0	0	2
autumn	2013	135	4	DO_2007	3	3	0	0	0	3	0	0	4	0	0	0
autumn	2013	136	4	DO_2007	4	1	0	0	0	3	0	0	5	0	0	0
autumn	2013	137	5	EF_2007	1	2	0	0	0	0	0	0	14	0	0	0
autumn	2013	138	5	EF_2007	2	3	0	0	0	0	0	0	7	0	0	0
autumn	2013	139	5	EF_2007	3	6	0	0	0	0	0	0	5	2	0	0
autumn	2013	140	5	EF_2007	4	1	0	0	0	0	0	0	4	1	0	0
autumn	2013	141	6	PA_2007	1	18	0	0	0	0	0	0	10	0	0	0
autumn	2013	142	6	PA_2007	2	22	0	0	0	2	0	0	2	0	0	0
autumn	2013	143	6	PA_2007	3	17	0	0	0	0	0	0	1	0	0	0
autumn	2013	144	6	PA_2007	4	20	0	0	0	2	0	0	14	0	0	0
autumn	2013	145	7	DO_2009	1	1	0	0	0	1	0	0	3	0	0	0
autumn	2013	146	7	DO_2009	2	7	0	0	0	0	0	0	0	0	0	0
autumn	2013	147	7	DO_2009	3	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	148	7	DO_2009	4	5	0	0	0	3	0	0	14	0	0	0
autumn	2013	149	8	EF_2009	1	6	0	4	0	1	0	0	41	0	0	0
autumn	2013	150	8	EF_2009	2	11	0	1	0	0	0	0	7	0	0	0
autumn	2013	151	8	EF_2009	3	13	0	6	1	2	0	0	69	0	0	0
autumn	2013	152	8	EF_2009	4	6	1	2	0	1	0	0	44	0	0	0
autumn	2013	153	9	PO_2009	1	1	0	0	0	1	0	0	2	0	0	0
autumn	2013	154	9	PO_2009	2	3	0	0	0	0	0	0	2	0	0	0
autumn	2013	155	9	PO_2009	3	4	0	0	0	1	0	0	4	0	0	0
autumn	2013	156	9	PO_2009	4	2	0	0	0	0	0	0	4	1	0	0
autumn	2013	157	10	EF_2011	1	0	0	0	0	2	0	0	4	0	0	0
autumn	2013	158	10	EF_2011	2	1	0	0	0	0	0	0	3	0	0	0
autumn	2013	159	10	EF_2011	3	0	0	0	0	1	0	0	5	0	0	0
autumn	2013	160	10	EF_2011	4	0	0	0	0	0	0	0	8	0	0	0
autumn	2013	161	11	ND_2011	1	0	0	0	0	2	0	0	1	0	0	0
autumn	2013	162	11	ND_2011	2	1	0	1	0	1	0	0	4	0	0	0
autumn	2013	163	11	ND_2011	3	0	0	0	0	2	0	0	2	0	0	0
autumn	2013	164	11	ND_2011	4	1	0	0	0	0	0	0	1	0	0	0
autumn	2013	165	12	RO_2011	1	0	0	0	0	0	0	0	1	0	0	0
autumn	2013	166	12	RO_2011	2	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	167	12	RO_2011	3	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	168	12	RO_2011	4	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	169	16	DO_MaisII	1	0	0	0	0	0	0	0	1	0	0	0
autumn	2013	170	16	DO_MaisII	2	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	171	16	DO_MaisII	3	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	172	16	DO_MaisII	4	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	173	17	PA_Mais	1	2	0	0	0	1	0	0	2	0	0	0
autumn	2013	174	17	PA_Mais	2	2	1	0	0	0	0	0	0	0	0	0
autumn	2013	175	17	PA_Mais	3	6	0	0	0	0	0	0	6	0	0	0
autumn	2013	176	17	PA_Mais	4	2	0	0	0	0	0	0	5	0	0	0
autumn	2013	177	18	RO_MaisII	1	0	0	0	0	0	0	0	1	0	0	0
autumn	2013	178	18	RO_MaisII	2	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	179	18	RO_MaisII	3	0	0	0	0	0	0	0	0	0	0	0
autumn	2013	180	18	RO_MaisII	4	0	0	0	0	0	0	0	0	0	0	0
