ID	fieldID	field	hole	ALOad	ALOj	LTRad	LTRj
137	5	EF_2007	1	0	0	7.3579	1.9757
138	5	EF_2007	2	0	0	8.6171	1.708
139	5	EF_2007	3	0	0	21.0989	0
140	5	EF_2007	4	0	0	32.7272	0
141	6	PA_2007	1	0	0	2.4924	0
142	6	PA_2007	2	0	0	6.7647	0
143	6	PA_2007	3	0	0	1.509	0
144	6	PA_2007	4	0	0	1.1468	0
145	7	DO_2009	1	0	0	0	0
146	7	DO_2009	2	0	0	7.385	0
147	7	DO_2009	3	0	0	18.961	0
148	7	DO_2009	4	0	0	0	0
149	8	EF_2009	1	0	0	5.0286	2.0945
150	8	EF_2009	2	0	0	4.1506	0.5586
151	8	EF_2009	3	0	0	12.8276	0.3035
152	8	EF_2009	4	0	0	1.4667	0
153	9	PO_2009	1	2.8184	0.0955	6.7863	0
154	9	PO_2009	2	5.1468	0	8.8858	0
155	9	PO_2009	3	3.679	0.0768	0.991	0.2066
156	9	PO_2009	4	4.1819	0.2624	7.9518	0.1298
157	10	EF_2011	1	0	0	2.5368	0
158	10	EF_2011	2	0	0	5.3339	0
159	10	EF_2011	3	0	0	7.4862	0.1067
160	10	EF_2011	4	0	0	0	0.2376
161	11	ND_2011	1	0	0	6.7529	0
162	11	ND_2011	2	0	0	3.4225	0
163	11	ND_2011	3	0	0	1.8455	0.1765
164	11	ND_2011	4	0	0	0	0
165	12	RO_2011	1	0	0	20.4931	0
166	12	RO_2011	2	0	0	0	0
167	12	RO_2011	3	0	0	0	0
168	12	RO_2011	4	0	0	0	0
169	16	DO_MaisII	1	0	0	0	0
170	16	DO_MaisII	2	0	0	0	0
171	16	DO_MaisII	3	0	0	6.1748	0
172	16	DO_MaisII	4	0	0	0	0
173	17	PA_Mais	1	0	0	2.5887	0
174	17	PA_Mais	2	0	0	0	0
175	17	PA_Mais	3	0	0	1.9606	0
176	17	PA_Mais	4	0	0	0	0
177	18	RO_MaisII	1	0	0	0	0
178	18	RO_MaisII	2	0	0	4.6774	0
179	18	RO_MaisII	3	0	0	0	0
180	18	RO_MaisII	4	0	0	0	0
