ID	field.ID	location	field	dgO	dgN	area	WRB	BO_Syst	soty	crop	age_class	age	y_est	samcam	season	year	date	hole	ACA	ACH	ALO	ARO	END	LCA	LRU	LTR	LUM	OCY	OLA	UNK	ACA_BM	ACH_BM	ALO_BM	ARO_BM	END_BM	LCA_BM	LRU_BM	LTR_BM	LUM_BM	OCY_BM	OLA_BM	UNK_BM	pH	mc	cn	sand	silt	clay	ata1	atb1	hum1	ats1	prec1	rad1	ata2	atb2	hum2	ats2	prec2	rad2	soil_coverage	soil_tillage	fertilisation	weed_control	soil_compaction	compaction
13	4	Dornburg	DO_2007	11.657904	51.000938	2319	Mollic_Leptosol	BB-RR	uuT	Silphie	D_Sp_int2	5	2007	1	autumn	2012	17.09.2012	1	1	0	0	0	0	0	0	0	0	0	1	0	0.957	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.229	0	6.80	12.23	9.16	7.2	63.2	29.6	17.26	17.76	66.73	19.15	1.47	3919	14.78	14.84	71.10	16.25	0.00	3329	50x50	0	3	2	2	2
14	4	Dornburg	DO_2007	11.657904	51.000938	2319	Mollic_Leptosol	BB-RR	uuT	Silphie	D_Sp_int2	5	2007	1	autumn	2012	17.09.2012	2	1	0	0	1	1	0	0	2	0	0	1	0	0.461	0.000	0.000	0.148	0.125	0.000	0.000	8.773	0.000	0.000	2.551	0	6.80	12.23	9.16	7.2	63.2	29.6	17.26	17.76	66.73	19.15	1.47	3919	14.78	14.84	71.10	16.25	0.00	3329	50x50	0	3	2	2	2
15	4	Dornburg	DO_2007	11.657904	51.000938	2319	Mollic_Leptosol	BB-RR	uuT	Silphie	D_Sp_int2	5	2007	1	autumn	2012	17.09.2012	3	0	0	0	1	0	0	0	3	0	0	0	0	0.000	0.000	0.000	0.254	0.000	0.000	0.000	11.444	0.000	0.000	0.000	0	6.80	12.23	9.16	7.2	63.2	29.6	17.26	17.76	66.73	19.15	1.47	3919	14.78	14.84	71.10	16.25	0.00	3329	50x50	0	3	2	2	2
16	4	Dornburg	DO_2007	11.657904	51.000938	2319	Mollic_Leptosol	BB-RR	uuT	Silphie	D_Sp_int2	5	2007	1	autumn	2012	17.09.2012	4	2	0	0	1	0	0	0	3	0	0	1	0	1.534	0.000	0.000	0.226	0.000	0.000	0.000	17.566	0.000	0.000	1.698	0	6.80	12.23	9.16	7.2	63.2	29.6	17.26	17.76	66.73	19.15	1.47	3919	14.78	14.84	71.10	16.25	0.00	3329	50x50	0	3	2	2	2
17	5	Erfurt	EF_2007	11.005805	50.98336	172	Chernozem	TTn	uuT	Silphie	D_Sp_int2	5	2007	1	autumn	2012	16.10.2012	1	1	0	0	0	2	0	0	6	0	2	0	2	1.019	0.000	0.000	0.000	0.668	0.000	0.000	21.339	0.000	0.489	0.000	0	7.22	21.47	12.36	12.7	60.2	27.1	11.85	10.47	75.37	12.79	1.12	2795	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	1	2	2
18	5	Erfurt	EF_2007	11.005805	50.98336	172	Chernozem	TTn	uuT	Silphie	D_Sp_int2	5	2007	1	autumn	2012	16.10.2012	2	4	0	0	0	0	0	0	6	0	0	0	1	3.210	0.000	0.000	0.000	0.000	0.000	0.000	12.042	0.000	0.000	0.000	0	7.22	21.47	12.36	12.7	60.2	27.1	11.85	10.47	75.37	12.79	1.12	2795	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	1	2	2
19	5	Erfurt	EF_2007	11.005805	50.98336	172	Chernozem	TTn	uuT	Silphie	D_Sp_int2	5	2007	1	autumn	2012	16.10.2012	3	7	0	0	0	2	0	0	8	0	4	0	1	9.144	0.000	0.000	0.000	0.521	0.000	0.000	24.164	0.000	3.217	0.000	0	7.22	21.47	12.36	12.7	60.2	27.1	11.85	10.47	75.37	12.79	1.12	2795	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	1	2	2
20	5	Erfurt	EF_2007	11.005805	50.98336	172	Chernozem	TTn	uuT	Silphie	D_Sp_int2	5	2007	1	autumn	2012	16.10.2012	4	4	0	0	0	1	0	0	4	0	0	0	0	5.253	0.000	0.000	0.000	0.407	0.000	0.000	6.680	0.000	0.000	0.000	0	7.22	21.47	12.36	12.7	60.2	27.1	11.85	10.47	75.37	12.79	1.12	2795	8.88	7.19	73.82	8.88	0.00	2836	90x50	0	3	1	2	2
21	6	Pahren	PA_2007	11.89876	50.653093	6676	stagnic_Luvisol	SSn	ttU	Silphie	D_Sp_int2	5	2007	1	autumn	2012	19.09.2012	1	21	0	0	0	10	0	0	2	0	0	0	3	7.019	0.000	0.000	0.000	0.823	0.000	0.000	3.085	0.000	0.000	0.000	0	5.87	16.65	8.59	28.9	51.1	20	15.80	16.82	69.39	16.00	2.15	4486	9.98	11.52	72.06	13.83	5.00	4376	50x50	0	4	3	4	2
22	6	Pahren	PA_2007	11.89876	50.653093	6676	stagnic_Luvisol	SSn	ttU	Silphie	D_Sp_int2	5	2007	1	autumn	2012	19.09.2012	2	12	0	0	0	5	0	0	1	0	0	0	3	4.351	0.000	0.000	0.000	0.396	0.000	0.000	2.032	0.000	0.000	0.000	0	5.87	16.65	8.59	28.9	51.1	20	15.80	16.82	69.39	16.00	2.15	4486	9.98	11.52	72.06	13.83	5.00	4376	50x50	0	4	3	4	2
