"","anc.bm.avgmod1.d4.coef.shrinkage"
"(Intercept)",2.37242717098237
"age_class.L",1.60684205759026
"age_class.Q",-0.278733134305936
"age_class.C",0.198627201194001
"age_class^4",0.0109061360975141
"scl.ats1",-0.0981110114139938
"scl.prec1",0.098382360539174
"I(scl.ats1^2)",-0.0694291156181708
"samcam2",0.0371766270957151
"samcam3",0.00347450637698252
"scl.clay",0.00456937493120247
"scl.mc",0.00932664122446244
"scl.pH",0.00871786068016223
"scl.cn",-0.000735478939416275
