;X2.5..;X97.5..
.sig01;0.265000922;0.587296536
.sigma;0.452422523;0.562711153
(Intercept);0.152843545;0.677105079
age_class.L;0.557430634;1.462857431
age_class.Q;-0.612035751;0.347924657
age_class.C;-1.026849189;-0.050993181
age_class^4;-0.707298861;0.286975735
samcam2;0.475234756;0.986833107
samcam3;0.238220539;0.628112308
I(scl.mc^2);0.039039218;0.21264475
scl.pH;0.141388145;0.425126496
scl.prec1;0.201562477;0.440549804
