"","X.Intercept.","age_class","samcam","scl.ats1","I.scl.ats1.2.","scl.clay","scl.cn","scl.mc","I.scl.mc.2.","scl.pH","scl.prec1","age_class.samcam","scl.cn.scl.pH","scl.mc.scl.pH","df","logLik","AICc","delta","weight","V20"
"8036",0.253747278123915,"+","+",NA,NA,NA,-0.232371204920438,0.284178148124015,NA,0.167237415616959,0.324255983595759,"+",0.293954143433879,0.293976658424711,22,-392.259280994484,834.964421861579,2.91466256485546,0.0639326494895621,"endad"
"6004",0.366477218349642,"+","+",NA,NA,0.360329265733025,-0.0678778897130227,0.242470192565059,NA,0.145707573827262,0.345276292609654,"+",NA,0.272739626084194,22,-392.377492218522,835.200844309656,3.15108501293241,0.056804693450536,"endad"
"8052",0.233872702200575,"+","+",NA,NA,0.393923698600653,-0.365224594406631,0.281988664049427,NA,0.153175130996592,0.327467155321926,"+",0.30568743366838,0.307441014127083,23,-391.175063058922,835.427049194767,3.37728989804305,0.0507299522808901,"endad"
"61161",0.294526542524138,"+","+",NA,NA,NA,0.0491892982639754,0.207933524397766,0.0693743033097543,0.189658268301077,0.34289086744928,"+",NA,0.267747984146889,22,-392.730350405625,835.906560683861,3.85680138713701,0.0399153422041251,"endad"
"60842",1.73565254167513,"+","+",NA,NA,NA,NA,0.39815304709462,-0.092175559183742,0.107470962467289,0.399321438797775,"+",NA,0.168997944555596,21,-647.691266562817,1343.23063439146,0,0.51895546947902,"N"
"61002",1.74114713488132,"+","+",NA,NA,0.180182549942972,NA,0.396388083728194,-0.0933359492809178,0.102710310935316,0.401889560429891,"+",NA,0.1711855538641,22,-647.256608396552,1344.95907666571,1.7284422742573,0.218677259456191,"N"
"61162",1.73507145093522,"+","+",NA,NA,NA,0.0590669951102789,0.396603151336676,-0.0917727830555645,0.106474265623949,0.400147658582578,"+",NA,0.168796052181607,22,-647.64035358911,1345.72656705083,2.49593265937483,0.14898591170787,"N"
"8164",1.69334498431837,"+","+",NA,NA,NA,-0.107101273199709,0.436398614998838,-0.122007575763858,0.0974610738083971,0.38846659013169,"+",0.18056657791756,0.186063258180444,23,-646.59791673792,1346.27275655276,3.04212216130622,0.113381359356919,"N"
"11161",-3.88456468329165,"+","+",NA,-0.725770294587245,-0.661235029840284,NA,0.484097383965435,NA,NA,NA,"+",NA,NA,19,-210.569970340502,463.889940681004,0,0.488703038827862,"anc.juv"
"16281",-4.08417468595276,"+","+",NA,-0.585314953491362,-0.553264524272758,NA,0.425380560907123,NA,NA,0.176971260051968,"+",NA,NA,20,-210.15087326759,465.584765403105,1.69482472210137,0.209420179375326,"anc.juv"
"1148",-3.8864444761695,"+","+",NA,-0.726128493247606,-0.660777133846557,-0.000905138162557072,0.48408240671599,NA,NA,NA,"+",NA,NA,20,-210.569958922006,466.422936711937,2.53299603093296,0.137724733312083,"anc.juv"
"16121",-4.03427102944261,"+","+",NA,-0.3590953820943,NA,NA,0.349596300972374,NA,NA,0.333505882342304,"+",NA,NA,19,-212.186060761008,467.122121522017,3.23218084101279,0.0970925455928827,"anc.juv"
"1604",-4.38911607248364,"+","+",NA,NA,NA,NA,0.334984962844334,NA,NA,0.438494326139613,"+",NA,NA,18,-213.806921432337,467.862290069642,3.97234938863841,0.0670595028918455,"anc.juv"
"61003",0.320651044048036,"+","+",NA,NA,0.591438549522595,NA,0.859685490935608,-0.308687350864707,0.0140311174561067,0.449594512053617,"+",NA,0.32553946585204,22,-436.123311386082,922.692482644776,0,0.260140817388093,"endo.juv"
"60843",0.325362911434525,"+","+",NA,NA,NA,NA,0.87398908927404,-0.30471094138117,0.0390374247227759,0.441721813869239,"+",NA,0.312480567172182,21,-437.489712728601,922.827526723025,0.135044078248825,0.24315547428356,"endo.juv"
"61163",0.315473635628209,"+","+",NA,NA,NA,0.322761660273176,0.853730917812142,-0.298992389824169,0.0312210272713776,0.448042701788254,"+",NA,0.308787615232281,22,-437.054380856471,924.554621585554,1.86213894077798,0.102529813464072,"endo.juv"
"1732",0.370804266704624,"+","+",NA,NA,NA,NA,0.834223755326426,-0.364383919364827,NA,0.563124721066769,"+",NA,NA,19,-440.969182507277,924.688365014553,1.99588236977718,0.0958976910397689,"endo.juv"
"1748",0.373503101606278,"+","+",NA,NA,0.60174094973754,NA,0.823521198011357,-0.360783406228064,NA,0.57133517054779,"+",NA,NA,20,-439.712048062456,924.707114992836,2.01463234805954,0.0950028523331554,"endo.juv"
"61321",0.315932860833428,"+","+",NA,NA,0.533873898763481,0.158114743732999,0.850552282952998,-0.305465129839118,0.0120007028857941,0.452269296450795,"+",NA,0.322632838948732,23,-436.025683055997,925.128289188917,2.4358065441412,0.0769626175550122,"endo.juv"
"1764",0.362065511509383,"+","+",NA,NA,NA,0.386000099533478,0.815770507681682,-0.354643790099844,NA,0.566002996493769,"+",NA,NA,20,-440.421155286117,926.125329440158,3.43284679538215,0.0467493191526066,"endo.juv"
"1988",0.381045898465363,"+","+",NA,NA,NA,NA,0.845271633168172,-0.326504310141996,0.0883034281956993,0.551533171565933,"+",NA,NA,20,-440.560142417787,926.403303703499,3.71082105872256,0.0406830913580066,"endo.juv"
"81641",0.24935294621594,"+","+",NA,NA,NA,0.106247179969453,0.913910627390021,-0.340850597685964,0.0182333296384886,0.428570498595378,"+",0.246989698480324,0.342410686221916,23,-436.708566016769,926.494055110462,3.80157246568592,0.0388783234257256,"endo.juv"
"17321",0.693039745847011,"+","+",NA,NA,NA,NA,0.628356964244732,-0.302433644597215,NA,0.576046363474496,"+",NA,NA,19,-499.560727902941,1041.87145580588,0,0.235470207616066,"juv"
"17481",0.703488376862035,"+","+",NA,NA,0.356748622554703,NA,0.623443213331773,-0.301007102983791,NA,0.582482165940983,"+",NA,NA,20,-498.795357521144,1042.87373391021,1.00227810433148,0.142657313666165,"juv"
"17641",0.684850192044651,"+","+",NA,NA,NA,0.321141484340697,0.615405539005613,-0.295309491596782,NA,0.580441942923878,"+",NA,NA,20,-498.880979081337,1043.0449770306,1.17352122471675,0.130951075785324,"juv"
"60844",0.639362159243593,"+","+",NA,NA,NA,NA,0.636534697339795,-0.257180060352862,0.0395774396517655,0.529676831213173,"+",NA,0.159665857753481,21,-497.756659027758,1043.36141932134,1.48996351545725,0.11178782341453,"juv"
"19881",0.696632296708834,"+","+",NA,NA,NA,NA,0.63462874311665,-0.274828474936341,0.0619765280198245,0.564392553462482,"+",NA,NA,20,-499.150676239075,1043.58437134608,1.71291554019331,0.099995644337952,"juv"
"61004",0.645712374010824,"+","+",NA,NA,0.340015307560915,NA,0.630325896361718,-0.260032189093704,0.0265619714613233,0.536913795122,"+",NA,0.167048388333261,22,-496.997511634432,1044.44088314148,2.56942733559322,0.0651616255658317,"juv"
"61164",0.63014852303386,"+","+",NA,NA,NA,0.289916694770687,0.622665229762991,-0.252439545456655,0.033497748972181,0.535593468281346,"+",NA,0.160124396329208,22,-497.137248651683,1044.72035717598,2.84890137009552,0.0566636954327573,"juv"
"1780",0.695093739017118,"+","+",NA,NA,0.269595715969546,0.233129559263899,0.614996363326115,-0.296100046264665,NA,0.584404544707858,"+",NA,NA,21,-498.472399312481,1044.79289989079,2.92144408490367,0.0546452533859102,"juv"
"2004",0.705452258009467,"+","+",NA,NA,0.321543227309562,NA,0.629139865375115,-0.278630457943138,0.0508411828869398,0.57230522823913,"+",NA,NA,21,-498.522365281345,1044.89283182851,3.0213760226311,0.051981941904424,"juv"
"2020",0.688398567095591,"+","+",NA,NA,NA,0.29740363965318,0.621617831321781,-0.270806199243836,0.0559222668095232,0.569796942668397,"+",NA,NA,21,-498.547623395149,1044.94334805612,3.07189225023922,0.0506854188910396,"juv"
"518",1.62457744602995,"+",NA,-0.262079372090923,NA,NA,NA,NA,NA,NA,0.278308157208904,NA,NA,NA,9,-240.783143219198,500.625109967807,0,0.185578299916251,"anc.bm"
"2",1.62308511771622,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-243.124265284212,500.899693359123,0.274583391315559,0.161771557199453,"anc.bm"
"10",1.80338127487125,"+",NA,NA,-0.183094175291668,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-242.204839928698,501.251785120554,0.626675152747055,0.135658312816629,"anc.bm"
"14",1.84806036456412,"+",NA,-0.154622580479367,-0.223858516863807,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,-241.622952794643,502.304729118698,1.67961915089114,0.0801313625201771,"anc.bm"
"12",1.82343096528386,"+","+",NA,-0.302645658571526,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-240.909166075549,503.120107299027,2.49499733122013,0.0533022332197799,"anc.bm"
"534",1.62572974337063,"+",NA,-0.275212455122441,NA,0.139741259649916,NA,NA,NA,NA,0.294840835217142,NA,NA,NA,10,-241.218279485733,503.738334119395,3.11322415158816,0.0391290367465141,"anc.bm"
"66",1.62386924815242,"+",NA,NA,NA,NA,NA,0.130355416429924,NA,NA,NA,NA,NA,NA,8,-243.48099374112,503.804092745398,3.17898277759105,0.0378634211987521,"anc.bm"
"258",1.62549163417829,"+",NA,NA,NA,NA,NA,NA,NA,0.144313354152279,NA,NA,NA,NA,8,-243.513782350885,503.869669964929,3.24455999712154,0.0366420649638351,"anc.bm"
"526",1.75266786244089,"+",NA,-0.244443803246041,-0.128789690811017,NA,NA,NA,NA,NA,0.197585927978551,NA,NA,NA,10,-241.347320310421,503.99641576877,3.37130580096334,0.034392000525725,"anc.bm"
"74",1.80444134707523,"+",NA,NA,-0.183400292914642,NA,NA,0.132194972643799,NA,NA,NA,NA,NA,NA,9,-242.503599590935,504.066022711282,3.44091274347505,0.0332156291680488,"anc.bm"
"516",1.36441353307068,"+","+",NA,NA,NA,NA,NA,NA,NA,0.275315862453776,NA,NA,NA,10,-241.443515931959,504.188807011847,3.56369704403977,0.0312377835372318,"anc.bm"
"6",1.6264318108371,"+",NA,-0.108222473917294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-243.69131980278,504.224744868719,3.59963490091161,0.0306814870344928,"anc.bm"
"550",1.62464467669376,"+",NA,-0.264219364297214,NA,NA,0.0156288686199084,NA,NA,NA,0.281502552494116,NA,NA,NA,10,-241.497174557827,504.296124263584,3.67101429577696,0.0296057839830406,"anc.bm"
"774",1.62547479818636,"+",NA,-0.231718665078223,NA,NA,NA,NA,NA,0.117464682589281,0.28282841971023,NA,NA,NA,10,-241.510989410445,504.323753968818,3.69864400101113,0.0291995966101039,"anc.bm"
"514",1.62042063391138,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.110010957436848,NA,NA,NA,8,-243.741733685793,504.325572634744,3.70046266693726,0.029173056523115,"anc.bm"
"18",1.62282560599872,"+",NA,NA,NA,-0.0339473659080618,NA,NA,NA,NA,NA,NA,NA,NA,8,-243.838990404956,504.520086073069,3.89497610526229,0.0264693865937563,"anc.bm"
"34",1.62298014133342,"+",NA,NA,NA,NA,-0.0461745896776064,NA,NA,NA,NA,NA,NA,NA,8,-243.85884665797,504.559798579097,3.93468861129037,0.0259489874430955,"anc.bm"
"M.11",1.79698291492371,"+",NA,-0.191209868266312,-0.251874048730565,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,-244.152050511324,507.362924552061,0,0.466145250347645,"ancad.bm"
"M.21",1.74155120849066,"+",NA,NA,-0.201368190059254,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-245.834114011385,508.510333285928,1.14740873386756,0.262642269601916,"ancad.bm"
"M.31",1.71789820030098,"+",NA,-0.267357162937438,-0.173051269787915,NA,NA,NA,NA,NA,0.166039064032318,NA,NA,NA,10,-244.361997969432,510.025771086792,2.66284653473139,0.123109476729235,"ancad.bm"
"M.41",1.54634546098824,"+",NA,NA,NA,NA,NA,NA,NA,0.184855457644101,NA,NA,NA,NA,8,-247.021810673928,510.885726611015,3.52280205895414,0.0800856151741843,"ancad.bm"
