"","endad.bm.avgmod1.d4.importance"
"samcam",1
"scl.pH",1
"scl.prec1",1
"age_class",0.898815600863283
"I(scl.mc^2)",0.71004147738513
"offset(log(area))",0.499999999999996
"scl.mc",0.279376861745001
"scl.mc:scl.pH",0.216885885534168
"scl.clay",0.0639008040708422
