"","anc.bm.avgmod1.d4.importance"
"age_class",1
"offset(log(area))",0.499999999999999
"scl.ats1",0.428717567336302
"scl.prec1",0.378315557841978
"I(scl.ats1^2)",0.336699538250363
"samcam",0.0845400167570136
"scl.mc",0.071079050366801
"scl.pH",0.065841661573939
"scl.clay",0.0655984233402715
"scl.cn",0.0555547714261358
