;X2.5..;X97.5..
(Intercept);1.355551759;1.893287478
age_class.L;1.066358841;2.221091222
age_class.Q;-0.99621011;0.199838311
age_class.C;-0.419899287;0.809154928
age_class^4;-0.635102017;0.61723657
scl.ats1;-0.420261486;-0.087808475
scl.prec1;0.088039661;0.445493972
