"","anc","anc","anc","ancad","ancad","ancad","endo","endo","endo","endad","endad","endad","N","N","N","anc.juv","anc.juv","anc.juv","endo.juv","endo.juv","endo.juv","juv","juv","juv","anc.bm","anc.bm","anc.bm","ancad.bm","ancad.bm","ancad.bm","endo.bm","endo.bm","endo.bm","endad.bm","endad.bm","endad.bm","N.bm","N.bm","N.bm","anc.juv.bm","anc.juv.bm","anc.juv.bm","endo.juv.bm","endo.juv.bm","endo.juv.bm","juv.bm","juv.bm","juv.bm","SR","SR","SR","H","H","H","endad.old","endad.old","endad.old"
"","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%","estimate","2.5%","97.5%"
"scl.clay",NA,NA,NA,NA,NA,NA,"0.53","-0.02","1.08",NA,NA,NA,NA,NA,NA,"-0.66","-1.04","-0.28","0.59","-0.11","1.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scl.ats1",NA,NA,NA,"-0.24","-0.54","0.07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.26","-0.43","-0.09","-0.19","-0.33","-0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I(scl.ats1^2)","-0.33","-0.54","-0.13","-0.2","-0.42","0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.73","-1.06","-0.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.25","-0.41","-0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scl.prec1","0.22","0.06","0.39",NA,NA,NA,"0.4","0.27","0.53","0.34","0.19","0.49","0.4","0.31","0.49",NA,NA,NA,"0.45","0.23","0.67","0.58","0.42","0.74","0.28","0.1","0.46",NA,NA,NA,"0.3","0.18","0.42","0.32","0.2","0.45","0.31","0.15","0.47",NA,NA,NA,NA,NA,NA,"0.13","0.05","0.21","0.4","0.2","0.61",NA,NA,NA,"0.34","0.19","0.49"
"age_class.L:samcam2","-0.35","-1.42","0.72",NA,NA,NA,"-1.03","-2.1","0.03","-1.19","-2.24","-0.13","-0.94","-1.7","-0.19","-7.68","-3619.83","3604.48","-0.84","-2.23","0.56","-1.26","-2.41","-0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.19","-2.24","-0.13"
"age_class.Q:samcam2","0.11","-0.83","1.04",NA,NA,NA,"1.15","0.2","2.11","1.37","0.42","2.33","0.88","0.21","1.56","-5.53","-3058.36","3047.3","0.99","-0.3","2.28","0.77","-0.25","1.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.37","0.42","2.33"
"age_class.C:samcam2","0.89","0.18","1.61",NA,NA,NA,"0.31","-0.36","0.99","0.4","-0.32","1.12","0.33","-0.15","0.81","12.08","-7212.23","7236.39","-0.04","-1.07","0.99","0.33","-0.56","1.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4","-0.32","1.12"
"age_class^4:samcam2","-1.04","-1.55","-0.53",NA,NA,NA,"-1.44","-1.95","-0.92","-0.45","-1.06","0.16","-1.44","-1.81","-1.08","-10.92","-5471.98","5450.15","-3.01","-3.89","-2.12","-2.77","-3.49","-2.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.45","-1.06","0.16"
"age_class.L:samcam3","0.13","-0.88","1.13",NA,NA,NA,"-0.17","-1.28","0.93","-0.23","-1.35","0.89","-0.38","-1.15","0.39","4.48","-8277.61","8286.58","0","-1.46","1.45","-0.6","-1.76","0.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.23","-1.35","0.89"
"age_class.Q:samcam3","-0.18","-1.05","0.69",NA,NA,NA,"0.35","-0.61","1.31","0.76","-0.25","1.77","0.09","-0.59","0.76","-14.35","-7014","6985.3","-0.16","-1.44","1.12","-0.58","-1.57","0.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.76","-0.25","1.77"
"age_class.C:samcam3","0.57","-0.14","1.27",NA,NA,NA,"0.13","-0.55","0.82","-0.04","-0.83","0.74","0.15","-0.34","0.65","16.88","-8111.89","8145.66","-0.1","-1.13","0.92","0.37","-0.54","1.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.04","-0.83","0.74"
"age_class^4:samcam3","-0.65","-1.16","-0.14",NA,NA,NA,"0.04","-0.39","0.47","0.56","0","1.13","-0.25","-0.56","0.07","-11.51","-5651.28","5628.26","-0.62","-1.32","0.08","-0.85","-1.47","-0.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.56","0","1.13"
"scl.mc:scl.pH",NA,NA,NA,NA,NA,NA,"0.3","0.16","0.44","0.26","0.09","0.43","0.17","0.07","0.27",NA,NA,NA,"0.33","0.08","0.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.22","0.11","0.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.12","0.05","0.19",NA,NA,NA,"0.43","0.25","0.62",NA,NA,NA,"0.26","0.09","0.43"
"scl.cn:scl.pH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rrandom",NA,NA,"0.76",NA,NA,"0.6",NA,NA,"0.88",NA,NA,"0.88",NA,NA,"0.87",NA,NA,"0.73",NA,NA,"0.82",NA,NA,"0.81",NA,NA,"0.52",NA,NA,"0.51",NA,NA,"0.67",NA,NA,"0.62",NA,NA,"0.53",NA,NA,"0.42",NA,NA,"0.65",NA,NA,"0.65",NA,NA,"0.7",NA,NA,"0.54",NA,NA,"0"
"Rsquared",NA,NA,"0.76",NA,NA,"0.6",NA,NA,"0.88",NA,NA,"0.88",NA,NA,"0.87",NA,NA,"0.73",NA,NA,"0.82",NA,NA,"0.81",NA,NA,"0.52",NA,NA,"0.51",NA,NA,"0.67",NA,NA,"0.62",NA,NA,"0.53",NA,NA,"0.42",NA,NA,"0.65",NA,NA,"0.65",NA,NA,"0.7",NA,NA,"0.54",NA,NA,"0"
"R2m",NA,NA,"0.6",NA,NA,"0.53",NA,NA,"0.52",NA,NA,"0.54",NA,NA,"0.63",NA,NA,"0.93",NA,NA,"0.41",NA,NA,"0.44",NA,NA,"0.35",NA,NA,"0.35",NA,NA,"0.51",NA,NA,"0.45",NA,NA,"0.54",NA,NA,"0",NA,NA,"0.23",NA,NA,"0.13",NA,NA,"0.47",NA,NA,"0",NA,NA,NA
"R2c",NA,NA,"0.74",NA,NA,"0.65",NA,NA,"0.8",NA,NA,"0.77",NA,NA,"0.81",NA,NA,"0.93",NA,NA,"0.72",NA,NA,"0.73",NA,NA,"0.58",NA,NA,"0.54",NA,NA,"0.74",NA,NA,"0.71",NA,NA,"0.6",NA,NA,"0.37",NA,NA,"0.68",NA,NA,"0.65",NA,NA,"0.68",NA,NA,"0.52",NA,NA,NA
"AICc",NA,NA,"731.2",NA,NA,"628.9",NA,NA,"1168.8",NA,NA,"826.8",NA,NA,"1337.4",NA,NA,"459.1",NA,NA,"916.2",NA,NA,"1037.1",NA,NA,"499.6",NA,NA,"506.3",NA,NA,"349.6",NA,NA,"345.3",NA,NA,"460.2",NA,NA,"221.2",NA,NA,"179.8",NA,NA,"266.8",NA,NA,"522.3",NA,NA,"170.1",NA,NA,NA
